rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0012	614.0	728.0	1028.0	671.0	773.0	1864.0	873.0	1047.0	345.0	168.0	1745.0	759.0	225.0	563.0	2548.0	4717.0	326.0	464.0	1653.0	1202.0	1144.0	1924.0	771.0	1655.0	2209.0	1640.0	1694.0	1294.0	1671.0	2087.0	525.0	71.0	261.0	1300.0	384.0	635.0	1504.0	1918.0	221.0	146.0	930.0	2197.0	1282.0	1542.0	2065.0	1032.0	288.0	793.0	847.0	728.0	262.0	1250.0	1483.0	1996.0	254.0	2247.0	570.0	1288.0	563.0	701.0	1252.0	250.0	573.0	912.0	1820.0	844.0	1513.0	975.0	748.0	254.0	843.0	808.0	3960.0	205.0	82639.2	1093680.0	1174483.265912
sub-0013	691.0	892.0	1012.0	1082.0	909.0	2137.0	1035.0	1223.0	441.0	238.0	1620.0	1118.0	348.0	800.0	2578.0	4997.0	356.0	436.0	1633.0	1007.0	1445.0	2101.0	1213.0	2038.0	2121.0	1749.0	2180.0	1329.0	1793.0	1926.0	569.0	285.0	302.0	1213.0	464.0	723.0	2158.0	2161.0	351.0	291.0	1040.0	2286.0	1169.0	1832.0	1938.0	1083.0	472.0	714.0	1141.0	868.0	209.0	1288.0	1650.0	2055.0	378.0	2352.0	718.0	868.0	789.0	908.0	1323.0	357.0	530.0	1044.0	1540.0	1245.0	1860.0	1161.0	1031.0	198.0	852.0	1190.0	3826.0	306.0	91187.4	1245924.0	1575330.67754
sub-0014	665.0	869.0	780.0	771.0	589.0	1857.0	869.0	888.0	340.0	222.0	1500.0	732.0	198.0	388.0	2453.0	4258.0	462.0	407.0	1493.0	994.0	990.0	2002.0	1081.0	1888.0	1781.0	1585.0	1270.0	1288.0	1852.0	1433.0	535.0	264.0	189.0	1117.0	490.0	463.0	1478.0	1856.0	250.0	96.0	873.0	2148.0	1151.0	1774.0	1758.0	702.0	370.0	689.0	754.0	842.0	233.0	1209.0	1246.0	1840.0	432.0	1786.0	723.0	890.0	431.0	710.0	1215.0	318.0	497.0	961.0	1262.0	844.0	1640.0	898.0	1353.0	185.0	686.0	912.0	3703.0	220.0	77900.6	1087763.0	1206059.232953
sub-0015	608.0	955.0	1133.0	1264.0	664.0	2061.0	1175.0	1228.0	298.0	185.0	1563.0	903.0	200.0	663.0	2736.0	4903.0	455.0	431.0	1512.0	1342.0	1280.0	2310.0	719.0	1520.0	1997.0	1658.0	2094.0	1312.0	2362.0	1951.0	566.0	373.0	370.0	1278.0	609.0	633.0	1502.0	1806.0	336.0	178.0	979.0	2234.0	1188.0	1623.0	2311.0	962.0	487.0	715.0	857.0	733.0	366.0	1431.0	1255.0	1675.0	380.0	2569.0	838.0	969.0	511.0	544.0	1602.0	206.0	526.0	858.0	1589.0	801.0	1961.0	1497.0	1139.0	144.0	784.0	792.0	4199.0	112.0	87972.1	1157625.0	1400508.836146
sub-0016	652.0	855.0	943.0	947.0	914.0	1827.0	895.0	864.0	338.0	177.0	1288.0	1003.0	303.0	554.0	3068.0	3963.0	444.0	339.0	1260.0	709.0	1186.0	2153.0	656.0	1583.0	1938.0	1867.0	1874.0	1346.0	1267.0	1762.0	516.0	118.0	223.0	1081.0	459.0	515.0	1728.0	1900.0	319.0	68.0	870.0	2232.0	1162.0	1540.0	1651.0	844.0	353.0	673.0	831.0	385.0	325.0	1266.0	1694.0	1653.0	189.0	1841.0	536.0	675.0	512.0	778.0	1385.0	277.0	438.0	815.0	1291.0	713.0	2089.0	1052.0	693.0	244.0	736.0	885.0	3331.0	173.0	78032.5	1078694.0	1226969.408346
sub-0017	472.0	788.0	782.0	741.0	710.0	1876.0	838.0	869.0	286.0	224.0	1634.0	811.0	297.0	569.0	2199.0	4350.0	344.0	370.0	1331.0	1364.0	1181.0	1976.0	734.0	1599.0	1520.0	1237.0	1236.0	1111.0	1592.0	1309.0	554.0	319.0	264.0	1018.0	440.0	392.0	1127.0	1777.0	250.0	192.0	724.0	2409.0	1111.0	1620.0	1998.0	631.0	382.0	658.0	775.0	349.0	360.0	1172.0	1024.0	1523.0	245.0	2185.0	729.0	875.0	359.0	462.0	1220.0	296.0	421.0	821.0	1336.0	732.0	1449.0	865.0	999.0	200.0	535.0	621.0	3343.0	171.0	73283.5	975124.0	1223580.126877
sub-0018	812.0	802.0	1150.0	1165.0	1009.0	1985.0	909.0	1136.0	426.0	176.0	1503.0	947.0	304.0	598.0	2755.0	4587.0	573.0	422.0	1917.0	1360.0	1203.0	2026.0	999.0	1913.0	2752.0	2074.0	1708.0	1498.0	1999.0	1816.0	540.0	219.0	323.0	1658.0	586.0	772.0	1661.0	2160.0	287.0	216.0	1008.0	2447.0	1141.0	1603.0	2041.0	1044.0	474.0	941.0	964.0	757.0	349.0	1374.0	1973.0	1764.0	255.0	2656.0	511.0	1386.0	555.0	742.0	1467.0	373.0	416.0	998.0	1560.0	1011.0	1911.0	1186.0	1148.0	313.0	922.0	822.0	4547.0	308.0	91908.1	1205241.0	1420234.794428
sub-0019	440.0	783.0	865.0	817.0	767.0	2023.0	786.0	901.0	289.0	214.0	1309.0	1000.0	276.0	477.0	2640.0	3948.0	330.0	311.0	1380.0	867.0	1165.0	1633.0	742.0	1608.0	1608.0	1331.0	1299.0	1174.0	1393.0	1582.0	583.0	183.0	294.0	1032.0	502.0	418.0	1337.0	1603.0	222.0	206.0	752.0	1942.0	968.0	1247.0	1822.0	784.0	334.0	638.0	823.0	655.0	335.0	1230.0	1114.0	1496.0	110.0	1659.0	559.0	895.0	410.0	768.0	1184.0	305.0	598.0	714.0	1200.0	710.0	1271.0	1294.0	746.0	200.0	593.0	734.0	3753.0	156.0	72337.1	971395.0	962037.916402
sub-0020	636.0	727.0	1095.0	996.0	809.0	2289.0	991.0	1056.0	378.0	195.0	1367.0	957.0	209.0	800.0	3167.0	5251.0	464.0	396.0	1201.0	1328.0	1125.0	1793.0	1018.0	2024.0	1583.0	2122.0	2112.0	1627.0	1977.0	2110.0	581.0	76.0	293.0	1474.0	569.0	601.0	1660.0	1998.0	169.0	212.0	983.0	2002.0	1168.0	1360.0	2108.0	1027.0	416.0	873.0	969.0	816.0	374.0	1667.0	1360.0	2035.0	456.0	2113.0	378.0	1094.0	447.0	504.0	1359.0	389.0	586.0	1088.0	1594.0	841.0	1881.0	1078.0	952.0	190.0	1182.0	834.0	3816.0	215.0	87589.5	1141418.0	1241908.211028
sub-0021	709.0	770.0	1055.0	1042.0	862.0	2248.0	1069.0	1219.0	333.0	210.0	1715.0	918.0	267.0	679.0	2773.0	4823.0	433.0	592.0	1920.0	1233.0	1197.0	1958.0	931.0	2013.0	1988.0	1988.0	1846.0	1371.0	1729.0	1886.0	663.0	513.0	283.0	1282.0	691.0	565.0	1613.0	2296.0	238.0	119.0	1084.0	2229.0	1240.0	1606.0	2048.0	925.0	386.0	734.0	1046.0	912.0	326.0	1495.0	1646.0	1980.0	231.0	2501.0	642.0	1266.0	628.0	862.0	1114.0	316.0	581.0	967.0	1820.0	1097.0	2174.0	1020.0	868.0	297.0	833.0	833.0	4503.0	207.0	90459.8	1211298.0	1268981.067234
sub-0022	577.0	873.0	871.0	813.0	768.0	2102.0	873.0	1071.0	303.0	166.0	1579.0	849.0	324.0	746.0	2176.0	4721.0	366.0	549.0	1506.0	1326.0	1135.0	1924.0	943.0	1717.0	1678.0	1269.0	2013.0	1079.0	1812.0	1678.0	498.0	138.0	221.0	1266.0	456.0	472.0	1446.0	1788.0	183.0	224.0	794.0	2308.0	1169.0	1625.0	1723.0	857.0	396.0	741.0	822.0	866.0	301.0	1060.0	1567.0	1886.0	109.0	2402.0	665.0	966.0	503.0	710.0	1173.0	293.0	459.0	848.0	1277.0	748.0	1529.0	884.0	1132.0	229.0	762.0	848.0	3344.0	222.0	79717.6	1116051.0	1189521.862383
sub-0023	698.0	899.0	911.0	1061.0	756.0	2583.0	1051.0	1200.0	432.0	244.0	1882.0	863.0	302.0	867.0	2983.0	5078.0	542.0	560.0	1891.0	1087.0	1212.0	2040.0	868.0	2138.0	2763.0	1842.0	2030.0	1302.0	1895.0	2000.0	626.0	341.0	251.0	1623.0	657.0	841.0	1826.0	2171.0	272.0	147.0	978.0	2503.0	1312.0	1484.0	2204.0	1007.0	584.0	827.0	1166.0	660.0	396.0	1455.0	1731.0	2274.0	425.0	3215.0	941.0	826.0	620.0	797.0	1517.0	401.0	540.0	1070.0	1819.0	1159.0	1797.0	1134.0	1160.0	300.0	952.0	1054.0	5507.0	129.0	96681.3	1424017.0	1678356.032306
sub-0024	782.0	984.0	895.0	1000.0	883.0	2026.0	943.0	964.0	379.0	276.0	1811.0	999.0	283.0	759.0	2954.0	4486.0	456.0	435.0	1670.0	1300.0	1187.0	1806.0	584.0	1974.0	1729.0	1657.0	1711.0	1156.0	1645.0	1713.0	577.0	148.0	270.0	1245.0	748.0	642.0	1741.0	1955.0	307.0	217.0	924.0	2472.0	1375.0	1901.0	1827.0	734.0	379.0	674.0	840.0	649.0	343.0	1450.0	1456.0	1874.0	363.0	2108.0	1042.0	1110.0	505.0	649.0	1237.0	310.0	540.0	1029.0	1512.0	1216.0	1665.0	1214.0	1061.0	182.0	969.0	1129.0	3756.0	220.0	86008.8	1166575.0	1298269.115385
sub-0025	748.0	1001.0	931.0	1033.0	897.0	1820.0	816.0	890.0	347.0	184.0	1538.0	954.0	223.0	462.0	3155.0	4597.0	534.0	484.0	1663.0	1111.0	1423.0	1764.0	774.0	1989.0	2368.0	1432.0	1495.0	1485.0	1911.0	1648.0	500.0	141.0	283.0	1257.0	586.0	556.0	1361.0	2469.0	238.0	90.0	863.0	2451.0	1305.0	1492.0	2239.0	841.0	366.0	774.0	869.0	703.0	387.0	1270.0	1301.0	1760.0	63.0	2063.0	653.0	1068.0	666.0	572.0	1251.0	291.0	450.0	1038.0	1720.0	929.0	2068.0	1365.0	924.0	232.0	637.0	937.0	4778.0	242.0	85722.4	1210527.0	1394087.467248
sub-0026	681.0	772.0	899.0	950.0	657.0	1628.0	728.0	808.0	262.0	205.0	1327.0	868.0	305.0	746.0	2228.0	4231.0	468.0	292.0	1546.0	1095.0	1206.0	1746.0	1061.0	1778.0	1825.0	1479.0	1394.0	1293.0	1518.0	1333.0	478.0	203.0	204.0	1124.0	499.0	518.0	1695.0	1627.0	172.0	172.0	910.0	2439.0	1094.0	1968.0	1908.0	799.0	362.0	656.0	704.0	906.0	255.0	1368.0	1396.0	1625.0	230.0	2063.0	721.0	731.0	384.0	614.0	1006.0	307.0	440.0	936.0	1204.0	629.0	1296.0	1167.0	669.0	198.0	650.0	613.0	3227.0	191.0	75687.6	967664.0	1027587.946123
sub-0027	585.0	745.0	879.0	856.0	930.0	1889.0	838.0	873.0	299.0	211.0	1468.0	1014.0	310.0	758.0	2401.0	3941.0	413.0	633.0	1611.0	1115.0	1387.0	1498.0	681.0	1930.0	1642.0	1550.0	1568.0	1128.0	1368.0	1501.0	558.0	124.0	278.0	1316.0	603.0	668.0	1436.0	1726.0	301.0	264.0	988.0	2102.0	1048.0	1534.0	2001.0	799.0	472.0	735.0	956.0	508.0	333.0	1202.0	1452.0	2150.0	362.0	2483.0	816.0	1008.0	375.0	874.0	1442.0	285.0	522.0	874.0	1626.0	776.0	1456.0	1070.0	713.0	255.0	808.0	711.0	4341.0	227.0	80602.5	1108001.0	1476204.172769
sub-0028	770.0	754.0	846.0	786.0	788.0	2309.0	904.0	962.0	353.0	143.0	1254.0	856.0	272.0	631.0	2698.0	4893.0	470.0	427.0	1525.0	1013.0	1415.0	1315.0	982.0	2000.0	2007.0	2179.0	1925.0	1270.0	1591.0	1723.0	596.0	122.0	296.0	1680.0	764.0	590.0	1616.0	2081.0	242.0	225.0	937.0	1876.0	1250.0	1333.0	2059.0	870.0	434.0	861.0	1047.0	801.0	311.0	1244.0	1327.0	2249.0	293.0	2537.0	528.0	1198.0	509.0	816.0	1642.0	297.0	584.0	1144.0	1831.0	977.0	1809.0	1173.0	1039.0	152.0	850.0	1125.0	4440.0	183.0	87002.6	1186626.0	1366729.649065
sub-0029	820.0	812.0	1014.0	1435.0	1005.0	2449.0	1063.0	1273.0	362.0	191.0	1830.0	1221.0	328.0	986.0	3813.0	4957.0	452.0	461.0	1483.0	1204.0	1535.0	2190.0	725.0	1953.0	2697.0	2081.0	1932.0	1634.0	1831.0	1812.0	545.0	420.0	308.0	1556.0	589.0	780.0	2107.0	2514.0	348.0	382.0	1093.0	2412.0	1371.0	1653.0	2089.0	1124.0	352.0	792.0	1028.0	840.0	309.0	1821.0	2058.0	1952.0	656.0	2658.0	557.0	1245.0	426.0	646.0	1845.0	358.0	618.0	1142.0	2461.0	1019.0	1954.0	1467.0	1069.0	377.0	886.0	1064.0	5113.0	346.0	99901.3	1300269.0	1581114.586967
sub-0030	743.0	992.0	1010.0	1027.0	824.0	2096.0	995.0	1046.0	430.0	252.0	1952.0	1010.0	339.0	758.0	2594.0	4688.0	398.0	394.0	1395.0	1155.0	1263.0	2001.0	1180.0	2204.0	2290.0	1842.0	1800.0	1394.0	1608.0	1793.0	716.0	319.0	280.0	1299.0	546.0	628.0	1769.0	2107.0	307.0	170.0	1138.0	2548.0	1279.0	1988.0	2241.0	970.0	465.0	897.0	1133.0	879.0	362.0	1352.0	1600.0	1987.0	406.0	2817.0	660.0	688.0	435.0	727.0	1354.0	461.0	563.0	1173.0	1806.0	1111.0	1956.0	1105.0	913.0	342.0	832.0	1042.0	4468.0	266.0	91574.6	1236943.0	1492150.190437
sub-0031	685.0	916.0	976.0	1196.0	790.0	2222.0	1083.0	1098.0	411.0	213.0	1674.0	1088.0	221.0	779.0	3521.0	5152.0	443.0	587.0	2225.0	1178.0	1232.0	2161.0	975.0	2092.0	2008.0	1947.0	1991.0	1661.0	2144.0	2082.0	605.0	435.0	288.0	1466.0	731.0	561.0	2234.0	2329.0	363.0	160.0	1022.0	2538.0	1387.0	2167.0	2295.0	1048.0	467.0	753.0	1051.0	950.0	286.0	1523.0	1649.0	2469.0	321.0	2549.0	1007.0	1216.0	565.0	758.0	1625.0	428.0	539.0	1052.0	1746.0	1114.0	2094.0	1065.0	1267.0	257.0	884.0	930.0	4723.0	208.0	97876.2	1306451.0	1450269.997242
sub-0032	583.0	739.0	872.0	994.0	646.0	2029.0	912.0	946.0	437.0	316.0	1670.0	739.0	317.0	475.0	3295.0	4198.0	352.0	433.0	1199.0	868.0	1317.0	1933.0	890.0	1918.0	2163.0	1881.0	1993.0	1437.0	1622.0	2002.0	659.0	116.0	287.0	1138.0	546.0	565.0	1798.0	1756.0	360.0	193.0	951.0	2359.0	1415.0	2459.0	1858.0	935.0	450.0	658.0	970.0	679.0	298.0	1138.0	1123.0	1542.0	234.0	2901.0	577.0	603.0	404.0	747.0	1355.0	212.0	499.0	900.0	1948.0	1128.0	1757.0	1195.0	963.0	277.0	899.0	1013.0	3450.0	200.0	84694.6	1096925.0	1246161.583717
