Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0011	93.8348	103.3593	97.5536	89.6022	75.3346	90.3489	98.3448	88.957	102.2415	92.1127	95.053	86.8629	91.2613	87.9896	84.6033	93.2595	95.0912	84.1504	93.4775	87.47	90.0446	100.1942	94.5792	97.1547	105.593	94.769	92.4314	96.2144	93.4559	95.3873	87.9372	72.8061	96.8101	96.2732	97.9011	101.2331	95.2795	92.013	73.0895	89.949	95.1596	86.3174	102.4876	91.7091	95.2973	87.2963	97.463	84.6624	84.9284	93.5214	94.5321	80.52	92.4282	89.3574	89.2859	100.9557	93.0183	96.2009	106.0937	94.7582	93.7457	93.326	87.1168	96.4186	85.8747	72.3246	90.6831	91.9775	102.014	101.7454
sub-0012	99.8297	102.723	97.3016	94.2132	77.4421	92.8912	97.7517	88.1901	101.5504	93.3813	95.1886	87.3803	93.1473	90.3113	84.1179	96.3824	93.1302	86.2866	95.6822	88.8496	90.5671	99.7295	94.6402	98.1914	100.4995	96.3864	94.6665	97.5903	93.1392	97.1429	88.4963	78.0875	100.6922	92.9259	97.6202	101.4819	96.3376	92.3991	79.5344	90.2775	95.8062	87.2102	102.3341	91.0528	95.5194	85.9602	98.211	87.7193	84.3308	96.8733	95.9342	85.9767	93.3527	85.3706	90.5768	99.6219	93.8089	96.6887	103.7127	94.9286	94.5963	95.7813	91.3082	96.709	87.3175	79.2734	95.0894	91.6354	100.4015	100.7672
sub-0013	97.0024	102.7871	95.8595	91.6365	77.6554	88.9656	99.6459	88.6713	99.0464	95.8634	93.0162	85.8819	92.3669	90.6516	85.4788	95.43	96.054	87.1684	96.1418	90.8408	93.6871	100.1661	94.8011	97.3439	98.8367	96.7463	94.82	97.953	95.3779	100.1176	89.7557	76.4321	92.8987	93.8857	97.6882	100.647	95.4623	91.534	78.0767	87.7553	96.9888	87.6557	100.1875	93.7426	94.5579	86.7524	95.4822	89.3081	86.1095	93.6439	95.0837	89.2626	95.102	88.2138	92.2425	99.4552	94.2555	97.5607	100.5665	95.1866	94.6743	95.9564	90.1756	97.9088	91.5831	78.0159	93.1944	91.5522	100.8123	101.0476
sub-0014	97.1931	105.3237	97.8716	94.5512	81.225	90.823	99.923	91.1327	99.7553	93.7169	95.5571	87.9386	90.1944	91.4052	87.3816	95.8216	97.6239	89.5684	97.3629	92.2499	94.3541	101.1659	95.5634	97.32	104.0715	98.5268	95.8635	99.5096	94.1073	99.2209	89.3107	77.7522	97.712	93.718	98.1303	103.7066	95.0312	93.8774	80.8173	89.6771	96.3155	89.1589	100.7067	94.0227	96.2045	89.8843	95.9088	89.0731	88.0493	94.8062	96.031	89.4341	95.7245	91.0354	90.9331	101.1114	93.7841	96.8474	105.7418	96.8784	94.6232	96.7981	91.6403	97.5589	85.6211	79.9415	96.5813	92.3155	102.1616	101.5751
sub-0015	100.3755	103.3576	96.9423	91.5032	82.764	90.3561	98.4298	89.9837	99.9123	92.54	93.1477	86.8137	87.595	91.5043	88.9129	94.1747	98.0277	87.7811	94.0112	89.5265	93.1284	99.934	96.5891	97.1124	100.4034	96.2139	93.7559	95.9595	94.0012	99.4946	87.7403	75.0832	95.9885	93.0035	100.2632	101.5529	96.1818	89.5664	78.9094	89.2156	97.1404	88.3648	99.8698	92.3508	93.6724	86.8249	94.2642	89.418	84.8521	95.7656	97.3942	89.8065	91.0719	87.6453	92.5383	100.2816	94.8826	97.2414	99.5553	94.5013	94.5305	94.583	91.9249	100.0771	82.5263	76.5989	95.0521	90.1568	100.5646	99.4315
sub-0016	99.6062	105.4494	95.4704	95.2362	76.5246	89.5577	98.6649	87.7777	103.3588	91.0899	95.1111	89.0641	94.5114	90.3318	82.9552	96.0345	98.1534	88.3055	94.2611	93.8977	91.96	103.6777	95.8425	98.2157	101.1679	95.4502	94.7634	96.2384	93.4035	96.8272	86.7791	76.0359	99.8452	95.848	100.2694	104.674	95.1451	92.3106	74.4316	89.605	94.3675	84.4959	104.2465	89.1822	95.7605	88.2719	94.8525	88.3016	84.1156	97.144	97.3942	86.6485	94.7724	91.8743	90.0324	102.9656	93.8823	98.3997	104.2704	94.783	94.6008	94.0081	89.6354	95.627	85.3568	74.8986	99.7277	93.9949	103.336	102.9943
sub-0017	97.7467	101.2104	99.7519	94.0828	73.9135	87.1234	99.3794	87.311	101.7509	92.4386	94.0629	87.3424	93.2527	88.2816	84.8112	94.6798	96.2469	84.3606	95.7803	90.5912	92.3423	100.8261	96.2803	97.6193	101.0423	97.6278	95.2069	98.7822	92.5024	100.3982	87.3991	70.9083	94.8836	93.323	100.6512	100.8746	97.6446	94.308	78.1187	88.9369	96.7429	87.2857	101.4979	91.295	94.9549	88.5782	95.0692	86.6892	84.5133	95.7348	96.2418	86.2104	94.7432	87.1992	91.9272	101.0866	95.7378	96.8768	104.8173	96.4375	94.5783	96.5959	88.8536	99.7032	86.5134	72.3506	98.0492	93.3222	101.2456	101.7039
sub-0018	94.8957	102.9238	95.5944	89.2508	79.3602	90.0404	98.7655	89.4433	99.7431	93.4943	92.6173	83.4588	90.6553	91.3471	84.1435	93.4398	95.8925	88.0999	95.6304	85.0216	91.7708	101.2907	95.2997	96.4242	96.0446	96.7676	93.2288	96.5657	93.9058	98.2996	92.1702	78.7234	95.094	93.2974	96.9208	100.689	92.8992	89.2262	80.3242	89.7554	95.9999	85.4687	100.3099	90.1805	93.47	84.5777	93.4501	89.3565	85.1393	94.7946	94.845	91.1929	95.0378	86.3476	91.6727	99.3115	93.2306	96.7268	100.0152	96.3487	93.1171	95.6882	92.6305	98.2386	90.6049	77.4496	93.2393	90.3903	101.5389	101.5412
sub-0019	99.2863	104.7234	95.4303	93.0186	75.3936	89.3929	96.2323	87.3743	103.5818	91.2719	94.4554	89.2246	89.63	85.8499	86.9852	93.6026	97.2331	84.6774	94.9407	93.1126	88.8575	103.723	95.0261	99.5638	102.2839	96.1631	92.6312	94.6803	91.5997	97.3463	82.6943	65.6196	96.9805	95.7783	99.6698	102.4966	95.4856	92.1897	69.8341	88.6852	93.1589	85.126	103.9251	89.0071	91.7844	88.5641	94.9733	86.7011	83.8475	94.741	94.8253	84.646	93.161	90.986	88.029	103.096	92.2953	97.19	105.1976	94.9474	92.117	93.0951	88.9185	96.3117	86.3282	68.7331	98.0705	94.243	103.6397	102.4093
sub-0020	94.7841	101.0137	97.0714	95.6637	74.5497	91.6944	95.897	85.8797	101.7351	93.9636	93.1512	86.9392	94.5463	87.7665	82.4608	94.1958	99.2133	83.5453	96.0065	91.3606	91.594	99.615	95.2951	97.229	93.7737	96.432	93.6279	97.2102	93.952	97.9142	88.4286	73.9234	95.2374	94.4339	97.6227	100.8767	93.7354	93.6766	72.6091	89.0278	92.315	84.8607	102.7799	90.8488	93.6431	87.1812	93.915	87.4206	82.8774	94.9647	97.0039	85.9536	91.3145	88.9506	90.5885	99.4038	92.9628	95.9716	103.6935	95.0633	92.9803	94.4381	90.6876	97.3658	83.9574	72.3481	94.9037	91.865	101.0357	101.4402
sub-0021	95.2394	106.8676	95.3644	91.0898	71.5655	89.6354	96.4951	84.2005	107.3469	88.511	90.782	85.5833	92.8	87.0161	82.9043	92.0939	94.6948	82.4454	94.5223	85.9978	86.5606	104.5142	90.123	102.5033	101.0872	95.7182	90.4587	94.4769	89.0562	95.6621	83.0375	68.5653	91.3381	93.5599	95.3418	106.0368	93.718	91.796	71.8002	85.828	93.9536	84.1422	108.4024	87.9154	94.5002	87.7135	94.8893	82.5234	84.6695	90.5137	94.3089	83.5518	92.629	84.2262	86.9728	103.9117	88.7755	100.7304	106.4523	94.3643	90.0997	91.4022	84.6682	94.4021	81.8664	71.563	93.599	91.9451	102.2012	102.0577
sub-0022	100.7697	104.8585	96.7794	96.9692	79.5043	90.5599	98.9024	91.416	103.8646	94.9182	96.0713	91.0563	96.707	91.6276	86.6653	94.9022	96.5888	89.3786	95.4565	93.2127	92.7126	103.0784	95.4181	99.2815	103.4141	96.0388	94.1592	96.5503	94.4767	98.8239	87.6311	74.8996	96.9985	94.4658	96.9467	105.4216	95.2057	95.5906	77.7389	89.7281	95.3191	87.0116	103.8048	94.1418	96.0979	90.8055	96.8201	88.6243	87.2847	95.0532	96.3151	85.8932	92.9572	90.8496	90.355	103.0012	93.7188	98.4922	107.2795	95.2796	94.2727	94.504	89.7183	97.0755	85.5686	77.0744	96.8597	91.5128	101.9398	101.3426
sub-0023	97.5324	101.1525	98.5569	91.4156	78.6743	88.947	98.6919	89.1082	100.2449	93.4191	94.4748	86.0239	90.9298	89.5483	86.1326	94.3735	97.9752	93.0167	96.9304	85.3271	94.0162	99.3821	96.0626	97.5598	99.4708	97.3656	94.454	97.0525	94.246	98.0903	88.7234	79.9357	96.219	93.0533	98.5458	101.3559	95.8322	91.4118	77.2699	88.2752	98.8381	87.5738	100.5967	93.387	94.9118	85.9323	96.438	89.8328	85.4063	95.79	95.8237	88.4997	93.9249	83.4327	92.9586	100.2113	94.3004	97.6592	98.206	95.9826	93.7869	96.484	92.6259	99.6295	87.8026	76.0748	97.6581	91.2013	101.7327	101.4791
sub-0024	98.5702	101.8603	97.0453	93.5356	78.8876	89.5003	96.6839	88.9004	99.8045	91.8594	93.4228	86.0689	92.6682	89.2775	85.0492	95.9625	95.7512	88.3671	96.5467	88.3644	91.8889	99.3897	96.3398	97.3684	98.2567	96.1061	94.1077	97.0893	92.5095	97.594	89.6005	75.0203	99.6667	92.7338	99.8797	101.3082	95.5585	92.8128	77.2827	89.3602	95.9658	87.6351	100.294	90.9342	95.3506	88.8837	97.1168	88.8518	86.303	94.9621	96.3497	86.8835	95.6565	89.7257	92.7134	99.4551	94.7199	96.4036	98.7733	94.905	93.5554	96.2078	91.2763	97.4784	85.8959	75.7082	98.1825	91.7576	101.2023	101.3107
sub-0025	96.2746	101.3826	97.8224	89.5413	78.2164	89.9219	99.1983	90.9247	100.7272	91.5879	93.7167	85.1041	93.6926	91.053	88.4958	93.6307	97.5226	92.2175	95.7529	86.0811	93.2646	100.5016	95.3348	96.9918	96.5276	97.1616	92.8703	97.3162	93.7754	99.1269	91.1855	72.8661	94.3929	92.0547	100.1424	101.6153	95.2923	91.8647	78.8463	87.8719	97.9149	89.1543	100.3807	91.5166	95.2102	86.6944	96.5248	89.3977	86.237	93.9978	97.2116	90.6147	95.9873	85.724	92.1088	99.7655	94.1361	97.3191	101.189	95.4234	93.1854	97.3182	91.412	99.4022	88.5874	73.6493	95.4603	91.221	101.117	101.3872
sub-0026	95.0	105.8866	96.5945	92.4882	76.7775	88.9315	96.0303	87.9985	102.8147	89.4955	94.2066	87.8925	90.9552	87.3015	85.4385	95.4682	96.1135	85.3886	95.2762	92.3211	89.9285	102.512	94.571	97.317	99.2639	94.5399	92.2	95.8513	93.0737	96.6713	81.2154	72.3807	93.6175	94.3605	95.6822	104.5873	93.7434	93.5444	73.2791	86.9024	93.5104	84.1771	103.5728	86.186	95.7108	90.5524	94.5087	86.8314	86.1165	95.4834	97.8958	85.9592	93.2251	92.6093	88.7551	102.3327	92.5235	97.4963	104.9655	94.7672	93.2127	94.7188	89.3249	95.8293	87.4241	73.9272	89.5065	92.5763	102.2336	102.0238
sub-0027	96.9147	102.6755	98.6819	90.6498	76.9059	90.0382	96.7906	90.4829	101.4703	91.5368	95.5913	86.8511	93.0272	90.3521	85.6175	94.093	98.8173	90.6301	98.2654	87.1533	92.2769	100.0281	95.6295	96.5921	96.2837	96.2939	94.9043	95.7702	95.3586	98.365	88.4684	76.0892	96.7389	95.1685	99.5415	100.8838	95.493	92.4611	75.5909	87.6259	95.9844	88.3975	100.9364	91.0651	94.6934	87.9505	96.0078	89.0153	86.2503	95.4697	95.2373	84.1567	94.1039	88.6754	92.7736	100.5299	94.9976	96.9281	102.2397	95.0206	94.7537	95.0821	91.7866	98.1704	85.4458	74.4264	96.7294	91.6243	100.8433	100.9596
sub-0028	97.902	103.3822	96.613	90.9767	81.3313	91.2698	99.0616	91.4919	98.0938	91.1311	93.1798	85.5248	92.1299	91.9841	85.1904	96.085	97.9517	89.3359	97.1635	87.6572	94.8427	98.2165	96.5519	98.3621	98.6049	96.8622	95.0906	98.5259	95.7547	98.9528	92.4558	80.8855	98.58	93.8006	96.6011	100.9685	95.3164	91.5449	81.8979	91.3919	97.9112	88.5025	97.8969	90.8878	95.2831	84.7266	95.1008	89.5114	86.2736	96.3501	96.2805	89.7434	94.3337	86.5509	92.3596	97.8925	94.1286	98.2749	101.062	95.3112	94.7561	98.1397	92.509	97.6993	93.7168	81.3008	96.2692	91.7951	100.2093	100.4025
sub-0029	98.0945	101.7822	95.6166	90.7728	79.4131	89.4141	97.7654	89.8753	98.8948	92.2468	94.2611	85.8195	91.2352	88.8883	86.073	94.3064	97.4469	88.1393	95.1166	84.7229	94.2238	97.268	95.8071	96.2514	97.3586	95.3793	93.0613	95.9139	95.613	98.8366	88.5499	77.343	97.1577	92.5753	95.0666	99.6853	94.0226	90.188	77.1864	89.9004	96.1863	86.0775	100.1197	92.433	93.2298	84.9921	92.7069	84.1379	83.3503	95.1855	96.5964	89.0485	92.8601	84.5485	90.7565	96.6407	93.7239	96.8965	97.908	93.978	93.2559	96.1131	90.2574	97.9243	84.2274	77.6728	94.7535	90.679	99.2187	99.3956
sub-0030	95.2386	103.7647	97.5628	94.0645	78.33	90.4448	98.7954	88.7784	99.2206	95.0479	94.3958	87.6109	91.3187	91.0158	86.1368	95.19	99.404	89.3049	96.8128	92.1855	93.6013	100.6231	96.7911	97.1687	100.0774	95.7282	94.2935	97.6503	95.894	98.3529	86.218	79.941	96.9387	94.5015	96.9995	101.0	95.3395	93.7433	77.2065	89.2159	97.0802	86.9915	99.6101	91.1958	96.5792	88.1734	96.2346	90.5916	86.4944	96.3727	97.9753	86.1183	95.5212	88.7443	93.3026	98.9618	94.7098	96.0316	101.7698	94.706	94.1989	94.5497	94.5316	99.3564	86.754	80.337	97.6762	91.8349	101.3493	100.5821
sub-0031	97.4581	101.2185	98.9414	93.2921	80.1472	88.7948	97.8123	89.061	98.2337	90.2062	93.6535	85.7163	89.6994	90.0868	84.2141	95.97	97.9447	88.1011	97.9381	90.6743	91.9378	97.3318	96.1003	96.4382	95.3927	96.709	94.3303	96.1402	94.4057	98.0199	91.7143	75.9928	94.315	93.3204	98.4821	100.2145	94.5415	93.7136	79.0354	89.3183	95.4354	88.06	99.1294	89.5205	94.403	87.4436	95.259	87.579	83.3354	97.3677	93.5773	85.6336	93.2891	89.9948	89.5532	97.1846	93.6887	96.7158	98.0009	94.4085	93.4518	94.5876	90.5093	97.7958	85.9235	77.0264	95.4622	91.2182	101.576	100.2411
sub-0032	94.6332	102.851	96.4487	93.9032	77.7374	89.2082	97.4701	88.0769	98.1652	89.8365	94.9512	86.4378	90.7013	90.5116	83.9555	96.3841	96.6901	89.0644	97.0491	90.3127	92.7395	98.9107	96.0979	98.2253	99.9623	97.1552	94.4756	97.5723	94.2224	98.6274	85.2963	73.195	94.5266	92.3622	98.2358	99.6951	94.5105	94.1651	77.3191	86.8576	95.787	87.1918	99.6613	88.3226	93.8784	89.0289	91.6169	89.3121	84.5303	96.7965	95.2156	88.163	93.1309	90.5838	92.1524	98.4194	95.2914	97.2397	100.5915	95.3598	94.5563	95.7823	92.5478	97.1944	85.632	74.7413	97.175	91.8718	101.3783	101.005
sub-0033	97.5575	101.6528	96.8603	89.1681	78.8315	89.5617	97.7186	89.5913	98.809	93.4111	92.2748	86.5299	92.6588	89.5042	85.4911	93.7423	94.2733	86.2373	94.8136	86.454	91.6646	98.2262	94.3985	96.7987	97.9865	97.2649	93.5648	96.0192	90.9698	97.2631	85.5521	78.5	96.1462	91.9421	99.7175	100.2828	94.6786	88.7532	73.787	88.3149	96.5419	89.7996	99.6175	91.7987	95.2433	85.7004	94.6622	90.3726	85.687	94.4345	97.6194	86.9706	95.4025	84.9481	92.1137	97.7341	94.11	97.0023	100.8659	96.417	93.9145	96.0501	91.4338	98.5807	85.7473	76.6748	97.1967	90.5274	100.5845	100.9281
sub-0034	96.2506	98.4839	93.6779	93.1348	77.6389	90.2993	96.8357	88.5922	101.685	94.495	93.6452	88.3277	87.339	89.2868	84.744	93.5751	96.4392	87.2911	95.3713	87.6548	91.4193	99.7377	94.4703	97.3374	102.1084	96.006	92.2522	97.7243	91.6474	97.7837	86.5693	74.1033	91.8558	94.31	97.7826	100.9304	93.7574	91.6247	76.0777	90.2847	94.9614	86.5995	101.5811	91.9451	94.6099	87.4286	95.1357	87.2483	85.5662	94.2614	96.13	87.6023	93.575	86.7523	91.3689	99.1889	93.6126	96.5656	99.5317	94.4723	92.7513	95.3835	89.0536	97.0909	88.5289	72.5146	94.7053	91.519	100.771	100.3456
