lh.aparc.a2009s.volume	lh_G&S_frontomargin_volume	lh_G&S_occipital_inf_volume	lh_G&S_paracentral_volume	lh_G&S_subcentral_volume	lh_G&S_transv_frontopol_volume	lh_G&S_cingul-Ant_volume	lh_G&S_cingul-Mid-Ant_volume	lh_G&S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg&S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet&P_trans_volume	lh_S_oc_middle&Lunatus_volume	lh_S_oc_sup&transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med&Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-0011	1899.0	2471.0	2824.0	2475.0	1329.0	3159.0	1956.0	1974.0	1287.0	629.0	2394.0	3132.0	860.0	2261.0	7896.0	14691.0	1386.0	2335.0	4048.0	1913.0	3572.0	3750.0	2447.0	5540.0	4430.0	6140.0	4857.0	2833.0	4910.0	4651.0	1887.0	723.0	834.0	4400.0	1220.0	1657.0	4832.0	5330.0	338.0	569.0	1613.0	2436.0	3740.0	1829.0	2947.0	1347.0	670.0	2157.0	1979.0	1107.0	592.0	3285.0	1340.0	3065.0	504.0	4475.0	1183.0	1393.0	608.0	849.0	2616.0	272.0	922.0	1916.0	2354.0	1033.0	3387.0	2548.0	1792.0	952.0	1185.0	1547.0	7198.0	798.0	916414.0	1050308.739903
sub-0012	2395.0	3482.0	3278.0	3041.0	1528.0	3989.0	1982.0	2294.0	1327.0	524.0	3647.0	4034.0	918.0	1542.0	9300.0	18003.0	1837.0	2052.0	5258.0	2613.0	4016.0	5188.0	4394.0	5210.0	6687.0	6529.0	6203.0	4063.0	6201.0	6345.0	2279.0	871.0	933.0	5002.0	1585.0	1498.0	7569.0	6197.0	388.0	332.0	1345.0	3807.0	5259.0	2587.0	3905.0	1630.0	1029.0	2161.0	2024.0	1717.0	640.0	2536.0	1496.0	4496.0	497.0	3685.0	1903.0	1994.0	1272.0	931.0	2996.0	378.0	992.0	2298.0	3196.0	1074.0	4041.0	2505.0	1839.0	1099.0	1568.0	2171.0	8285.0	500.0	1093680.0	1174483.265912
sub-0013	2457.0	2617.0	2950.0	4282.0	2135.0	5913.0	2670.0	2839.0	2169.0	835.0	2789.0	4013.0	1390.0	3424.0	11554.0	20086.0	1770.0	2775.0	4631.0	3124.0	5203.0	4302.0	4400.0	6827.0	7035.0	9734.0	7094.0	4161.0	6113.0	6762.0	2913.0	1317.0	1455.0	6421.0	2035.0	3081.0	6136.0	8108.0	461.0	486.0	1972.0	2419.0	5121.0	3241.0	3334.0	1764.0	968.0	2339.0	3397.0	1856.0	536.0	3626.0	3220.0	5227.0	655.0	5143.0	1679.0	1428.0	1296.0	1530.0	3188.0	781.0	1127.0	2860.0	3663.0	1571.0	5042.0	2928.0	1784.0	1335.0	2147.0	1846.0	11648.0	623.0	1245924.0	1575330.67754
sub-0014	2222.0	3471.0	2788.0	3164.0	1352.0	3856.0	2199.0	2535.0	1668.0	768.0	3284.0	2826.0	1246.0	2461.0	9558.0	16931.0	1503.0	2159.0	4678.0	2809.0	3910.0	5895.0	5688.0	6173.0	5821.0	6747.0	4518.0	3817.0	5881.0	5949.0	2414.0	1235.0	820.0	5575.0	1965.0	1714.0	5951.0	6358.0	418.0	465.0	1426.0	2630.0	5979.0	3494.0	3508.0	1270.0	878.0	2060.0	2225.0	1591.0	633.0	3339.0	1511.0	3844.0	274.0	3801.0	1554.0	1721.0	1252.0	1321.0	3667.0	630.0	1064.0	2336.0	2398.0	893.0	3404.0	2046.0	2033.0	1363.0	1110.0	2023.0	8412.0	865.0	1087763.0	1206059.232953
sub-0015	1780.0	3673.0	2751.0	2888.0	1878.0	6516.0	2690.0	2990.0	1698.0	716.0	2814.0	4059.0	1163.0	3298.0	11191.0	18389.0	1547.0	2479.0	6105.0	3440.0	4496.0	5609.0	3950.0	5337.0	5798.0	5810.0	6188.0	3693.0	5476.0	5599.0	2203.0	731.0	1218.0	6198.0	2059.0	1797.0	5943.0	6173.0	318.0	340.0	1376.0	3474.0	5906.0	3258.0	3757.0	1392.0	731.0	2096.0	2730.0	1798.0	542.0	3444.0	1849.0	4422.0	424.0	4933.0	1556.0	1843.0	1087.0	1338.0	3126.0	356.0	1103.0	2433.0	3218.0	1109.0	4658.0	2551.0	1893.0	922.0	1509.0	2205.0	9974.0	663.0	1157625.0	1400508.836146
sub-0016	2450.0	3162.0	2777.0	2571.0	1690.0	4621.0	2756.0	2344.0	1283.0	678.0	2742.0	3239.0	1009.0	3241.0	10172.0	16125.0	1615.0	2251.0	3699.0	2531.0	4723.0	6211.0	3918.0	5853.0	5637.0	7106.0	5885.0	3931.0	4976.0	5712.0	2338.0	496.0	917.0	4920.0	1893.0	2085.0	6549.0	6522.0	441.0	488.0	1409.0	2412.0	5436.0	3561.0	3058.0	1592.0	754.0	1964.0	2546.0	1569.0	758.0	3699.0	2270.0	4414.0	331.0	3848.0	1124.0	1641.0	1167.0	1324.0	3369.0	503.0	931.0	2498.0	3009.0	1385.0	4093.0	2099.0	1741.0	955.0	1322.0	2524.0	8852.0	462.0	1078694.0	1226969.408346
sub-0017	1792.0	2406.0	2555.0	2522.0	1771.0	4244.0	2121.0	2037.0	1140.0	589.0	3207.0	2824.0	1398.0	3358.0	6794.0	17786.0	1186.0	2246.0	4162.0	2718.0	4374.0	5219.0	3325.0	6578.0	5211.0	4781.0	4403.0	4712.0	5715.0	4670.0	2440.0	576.0	860.0	5145.0	1774.0	1651.0	5815.0	6383.0	563.0	370.0	1222.0	2445.0	4694.0	3598.0	3865.0	1282.0	876.0	1847.0	2498.0	1281.0	408.0	2336.0	1306.0	3700.0	193.0	3779.0	970.0	1477.0	1023.0	1193.0	2855.0	433.0	983.0	2000.0	2432.0	1335.0	3330.0	1722.0	2781.0	1204.0	1223.0	1607.0	8760.0	588.0	975124.0	1223580.126877
sub-0018	2306.0	2926.0	2912.0	3744.0	1377.0	4337.0	2417.0	2302.0	1461.0	571.0	3002.0	3088.0	1312.0	2501.0	11104.0	16703.0	1907.0	2750.0	5428.0	2585.0	5342.0	4464.0	5132.0	7024.0	7289.0	6910.0	5512.0	3683.0	6122.0	7567.0	2818.0	903.0	1301.0	6558.0	1864.0	2428.0	7878.0	7966.0	336.0	434.0	1665.0	3280.0	5110.0	2432.0	3786.0	1644.0	1064.0	2885.0	2538.0	2075.0	697.0	2570.0	2334.0	4655.0	736.0	4161.0	1253.0	1873.0	1206.0	1336.0	4024.0	396.0	1046.0	2314.0	3248.0	1384.0	4936.0	2888.0	2255.0	983.0	2226.0	2557.0	11807.0	798.0	1205241.0	1420234.794428
sub-0019	1770.0	2363.0	2548.0	2760.0	1439.0	4730.0	2006.0	2102.0	1320.0	498.0	2204.0	3083.0	1193.0	2558.0	9151.0	15073.0	1326.0	1880.0	3853.0	1880.0	3321.0	4192.0	4388.0	5407.0	4630.0	4282.0	5027.0	3705.0	4368.0	4935.0	2236.0	627.0	1063.0	5090.0	1449.0	1275.0	5338.0	5603.0	474.0	441.0	1229.0	2420.0	4181.0	2320.0	3402.0	1226.0	678.0	2090.0	2405.0	1357.0	570.0	2552.0	1370.0	4136.0	236.0	3390.0	1101.0	1577.0	963.0	929.0	3014.0	424.0	1039.0	2201.0	2217.0	991.0	3033.0	2785.0	1421.0	1045.0	1331.0	1596.0	7970.0	619.0	971395.0	962037.916402
sub-0020	2359.0	3630.0	3075.0	3144.0	1496.0	4664.0	2377.0	2563.0	1762.0	536.0	2537.0	3668.0	1409.0	2976.0	10700.0	18183.0	1769.0	2292.0	3998.0	2860.0	4362.0	5114.0	3782.0	6775.0	5290.0	6879.0	8019.0	3993.0	6022.0	7508.0	2824.0	705.0	1014.0	6417.0	1985.0	3128.0	6419.0	6674.0	481.0	543.0	1824.0	2754.0	4781.0	2203.0	4224.0	1757.0	808.0	2747.0	2610.0	1599.0	801.0	3269.0	1756.0	4560.0	317.0	5458.0	1149.0	1848.0	843.0	1382.0	3478.0	452.0	913.0	2750.0	2812.0	1335.0	4052.0	2865.0	1955.0	1183.0	2073.0	2164.0	9786.0	611.0	1141418.0	1241908.211028
sub-0021	3021.0	4021.0	3412.0	3288.0	1954.0	4781.0	2366.0	2389.0	2082.0	639.0	2772.0	3770.0	1252.0	1714.0	10412.0	19729.0	1896.0	3067.0	6025.0	2470.0	4372.0	4027.0	4157.0	7050.0	7923.0	5994.0	5691.0	3962.0	6165.0	7107.0	3117.0	896.0	984.0	6214.0	2807.0	2247.0	7795.0	8735.0	321.0	382.0	1737.0	3361.0	7461.0	2341.0	3752.0	1850.0	799.0	2608.0	2579.0	2037.0	689.0	2913.0	2592.0	5402.0	767.0	3417.0	1542.0	2078.0	1058.0	2270.0	3259.0	605.0	1031.0	3063.0	3451.0	1366.0	4411.0	2228.0	1906.0	1661.0	2011.0	2637.0	14140.0	501.0	1211298.0	1268981.067234
sub-0022	1894.0	3024.0	2563.0	2587.0	1631.0	4464.0	2949.0	2546.0	1541.0	645.0	3495.0	3271.0	1236.0	3066.0	8552.0	17228.0	1579.0	2210.0	4737.0	2956.0	4772.0	4843.0	4637.0	6036.0	4731.0	4742.0	6130.0	3562.0	5791.0	5637.0	2179.0	370.0	1040.0	5948.0	2125.0	2033.0	5154.0	5968.0	438.0	509.0	1198.0	3023.0	5189.0	3232.0	3335.0	1199.0	791.0	2357.0	2279.0	1638.0	870.0	2950.0	1634.0	4016.0	317.0	3688.0	1124.0	1644.0	1001.0	1298.0	2729.0	848.0	957.0	2715.0	3057.0	1284.0	3537.0	2341.0	1745.0	1423.0	1563.0	2910.0	8770.0	492.0	1116051.0	1189521.862383
sub-0023	2604.0	3008.0	3265.0	3841.0	2222.0	5501.0	2430.0	3049.0	2501.0	898.0	3537.0	4178.0	1467.0	2912.0	11164.0	22466.0	2393.0	2830.0	4727.0	2618.0	5103.0	5688.0	4798.0	6771.0	7304.0	7788.0	8452.0	4762.0	7303.0	7894.0	2977.0	1382.0	1141.0	6564.0	2017.0	2916.0	7773.0	8120.0	375.0	582.0	1808.0	2914.0	5753.0	2599.0	4424.0	1854.0	1035.0	2454.0	2838.0	1330.0	683.0	3307.0	2383.0	8207.0	1313.0	4560.0	1774.0	1457.0	954.0	1509.0	3906.0	553.0	1271.0	2804.0	3448.0	1440.0	5072.0	3113.0	2830.0	1068.0	2406.0	3158.0	10814.0	726.0	1424017.0	1678356.032306
sub-0024	2215.0	3706.0	2925.0	3754.0	1999.0	5164.0	2263.0	2491.0	1563.0	618.0	3361.0	3049.0	1153.0	2310.0	11649.0	19029.0	1630.0	2686.0	5589.0	2511.0	5930.0	5108.0	3349.0	6115.0	6022.0	5874.0	6661.0	4469.0	6003.0	6286.0	2396.0	1196.0	796.0	5520.0	2376.0	1941.0	7475.0	7317.0	353.0	666.0	1532.0	2934.0	6013.0	3256.0	3538.0	1483.0	830.0	2137.0	2533.0	1680.0	762.0	3352.0	2213.0	4745.0	378.0	4433.0	1767.0	1816.0	1110.0	1997.0	3275.0	613.0	912.0	2712.0	2862.0	955.0	3933.0	2172.0	2264.0	1576.0	1491.0	2049.0	10947.0	529.0	1166575.0	1298269.115385
sub-0025	2620.0	3251.0	2635.0	3509.0	1528.0	5207.0	2495.0	2884.0	1849.0	665.0	3370.0	3996.0	1448.0	3233.0	11194.0	19444.0	1563.0	2480.0	5735.0	2873.0	4534.0	5657.0	4384.0	7138.0	6261.0	6569.0	5776.0	4309.0	6406.0	5671.0	2842.0	1956.0	1485.0	5619.0	2526.0	1626.0	7982.0	8764.0	470.0	478.0	1585.0	3275.0	5891.0	2417.0	3699.0	1441.0	1011.0	1954.0	2419.0	1723.0	902.0	3403.0	1606.0	4680.0	255.0	4454.0	1237.0	1996.0	1023.0	1751.0	3921.0	456.0	1043.0	3079.0	2917.0	1360.0	4776.0	2443.0	1914.0	1268.0	1502.0	2997.0	9084.0	585.0	1210527.0	1394087.467248
sub-0026	2568.0	3483.0	2316.0	2933.0	1386.0	4068.0	2463.0	2519.0	1112.0	503.0	2320.0	3301.0	1041.0	1563.0	8677.0	15585.0	1693.0	2175.0	4445.0	2135.0	4816.0	4083.0	4147.0	6354.0	4531.0	5559.0	4538.0	3526.0	4774.0	5877.0	2724.0	794.0	1000.0	4789.0	1908.0	1675.0	4912.0	5888.0	495.0	460.0	1365.0	3120.0	4395.0	2808.0	3218.0	1338.0	886.0	1752.0	2371.0	1861.0	595.0	2305.0	1615.0	3850.0	200.0	3448.0	1309.0	1081.0	838.0	1359.0	3179.0	460.0	1034.0	2515.0	2284.0	959.0	2825.0	2719.0	1449.0	852.0	1142.0	1696.0	8350.0	549.0	967664.0	1027587.946123
sub-0027	2184.0	2597.0	2913.0	2994.0	1724.0	4600.0	2094.0	2537.0	1435.0	787.0	2447.0	3663.0	1292.0	2555.0	9201.0	15377.0	1763.0	2641.0	5127.0	2410.0	4221.0	4847.0	2711.0	6738.0	6249.0	6772.0	5536.0	3344.0	5503.0	7045.0	2341.0	1609.0	1183.0	5794.0	1716.0	2209.0	6089.0	8004.0	337.0	715.0	1778.0	2668.0	5191.0	2523.0	3433.0	1396.0	970.0	2297.0	2630.0	1052.0	684.0	3370.0	2457.0	5673.0	619.0	4732.0	966.0	1720.0	1041.0	1642.0	3220.0	525.0	882.0	2480.0	2434.0	1525.0	3785.0	2298.0	2430.0	2034.0	1646.0	2079.0	9900.0	635.0	1108001.0	1476204.172769
sub-0028	2099.0	2634.0	2621.0	2966.0	1926.0	5406.0	2314.0	2995.0	1609.0	657.0	3212.0	2922.0	1080.0	2720.0	11452.0	18002.0	1723.0	2758.0	4778.0	2572.0	4212.0	3263.0	4507.0	6551.0	7344.0	7140.0	5133.0	4213.0	5545.0	5811.0	2276.0	1061.0	1111.0	6511.0	2633.0	2061.0	7971.0	8207.0	542.0	479.0	1581.0	3987.0	5655.0	2466.0	3564.0	1705.0	816.0	2499.0	2726.0	1859.0	910.0	2820.0	1959.0	6304.0	388.0	3439.0	1063.0	1495.0	883.0	1162.0	3831.0	450.0	1102.0	2779.0	3725.0	1626.0	4197.0	2463.0	1868.0	872.0	1329.0	3234.0	10583.0	665.0	1186626.0	1366729.649065
sub-0029	1952.0	3615.0	2947.0	3995.0	2434.0	5710.0	2295.0	2917.0	1681.0	726.0	3131.0	3338.0	1055.0	3782.0	12451.0	20304.0	1806.0	2941.0	4300.0	2783.0	5514.0	5011.0	3490.0	7410.0	5819.0	8860.0	6711.0	5115.0	7491.0	7288.0	2654.0	934.0	1076.0	6569.0	2425.0	2503.0	6941.0	7676.0	381.0	570.0	1732.0	3099.0	5775.0	2945.0	4733.0	1774.0	942.0	2363.0	2878.0	1905.0	963.0	3410.0	2688.0	6042.0	440.0	4601.0	886.0	1535.0	841.0	1258.0	3553.0	567.0	1017.0	2441.0	5071.0	1360.0	5021.0	2619.0	2745.0	1173.0	2182.0	2504.0	11147.0	1276.0	1300269.0	1581114.586967
sub-0030	2009.0	2733.0	3272.0	4022.0	1682.0	5411.0	2902.0	2992.0	1860.0	883.0	3477.0	3494.0	1123.0	2632.0	11216.0	19236.0	1957.0	2558.0	5901.0	3592.0	4769.0	5614.0	4581.0	7590.0	5429.0	8640.0	5507.0	5207.0	6620.0	6182.0	2320.0	675.0	1520.0	5731.0	2420.0	2340.0	7129.0	7391.0	551.0	743.0	2221.0	3596.0	5703.0	3914.0	4359.0	1713.0	1134.0	2860.0	2909.0	2039.0	653.0	2710.0	1842.0	4699.0	392.0	3716.0	1410.0	2118.0	1075.0	1558.0	3406.0	436.0	1088.0	2348.0	3464.0	1418.0	5625.0	2802.0	2221.0	1459.0	1860.0	2539.0	8422.0	653.0	1236943.0	1492150.190437
