rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-0011	1499.0	1746.0	3907.0	2968.0	2049.0	7670.0	12216.0	6588.0	1958.0	9393.0	6287.0	5507.0	5080.0	9202.0	1522.0	3474.0	2942.0	2492.0	2732.0	1931.0	8319.0	2283.0	12041.0	7574.0	1429.0	12617.0	18550.0	11531.0	8402.0	8821.0	1471.0	2451.0	847.0	6585.0	916414.0	1050308.739903
sub-0012	2145.0	2149.0	5947.0	3644.0	1872.0	9689.0	15314.0	9187.0	2068.0	11863.0	7546.0	7095.0	5331.0	11829.0	1943.0	4460.0	3776.0	2550.0	3121.0	2619.0	8365.0	3574.0	12965.0	11201.0	2033.0	16414.0	22788.0	14124.0	11687.0	10234.0	1368.0	2286.0	1008.0	6486.0	1093680.0	1174483.265912
sub-0013	2355.0	3057.0	7164.0	3854.0	2438.0	10481.0	14958.0	12242.0	2766.0	12269.0	9008.0	7741.0	6630.0	12955.0	2023.0	4595.0	4983.0	3424.0	5922.0	2376.0	8948.0	4516.0	14593.0	11548.0	2455.0	16852.0	25471.0	15074.0	12023.0	11684.0	1287.0	2147.0	1201.0	8967.0	1245924.0	1575330.67754
sub-0014	1851.0	1188.0	5519.0	3479.0	2554.0	9577.0	13449.0	10209.0	2728.0	11914.0	8118.0	8401.0	5922.0	10810.0	2306.0	3726.0	3238.0	2526.0	3128.0	2361.0	8133.0	3277.0	12517.0	8374.0	1125.0	14862.0	22876.0	10334.0	10513.0	9672.0	1188.0	2452.0	852.0	6696.0	1087763.0	1206059.232953
sub-0015	2449.0	1924.0	5731.0	3386.0	2181.0	9217.0	14081.0	9608.0	2158.0	14080.0	7362.0	8251.0	5505.0	10854.0	2379.0	5157.0	3701.0	1960.0	4457.0	2259.0	9262.0	3176.0	16929.0	10936.0	2047.0	13853.0	25676.0	15070.0	12771.0	10469.0	1197.0	2391.0	987.0	7435.0	1157625.0	1400508.836146
sub-0016	1839.0	2496.0	6243.0	2945.0	2522.0	8420.0	12401.0	10929.0	2435.0	11306.0	6999.0	7923.0	6414.0	10799.0	1945.0	4062.0	3702.0	2972.0	4177.0	2581.0	8965.0	3122.0	10625.0	9745.0	1929.0	17721.0	20784.0	11932.0	10690.0	11012.0	1284.0	2392.0	841.0	6694.0	1078694.0	1226969.408346
sub-0017	1492.0	1846.0	4941.0	3841.0	2073.0	8157.0	12028.0	7231.0	2498.0	12089.0	6985.0	7190.0	6337.0	10123.0	1689.0	3518.0	3168.0	2474.0	4493.0	2227.0	7788.0	2627.0	13216.0	7571.0	1374.0	12185.0	22313.0	11333.0	9168.0	7702.0	1118.0	2850.0	787.0	6425.0	975124.0	1223580.126877
sub-0018	2177.0	2730.0	6091.0	3062.0	2743.0	9863.0	17026.0	10326.0	2396.0	11917.0	8374.0	7500.0	5416.0	11092.0	2789.0	4373.0	3869.0	3240.0	4587.0	2110.0	8382.0	4263.0	14217.0	10521.0	2452.0	16697.0	20553.0	13840.0	13973.0	10923.0	1190.0	2347.0	1033.0	7808.0	1205241.0	1420234.794428
sub-0019	1894.0	2018.0	5414.0	2458.0	2501.0	7757.0	12337.0	8354.0	2091.0	10158.0	6910.0	5636.0	5271.0	9345.0	1609.0	3370.0	4282.0	2520.0	3563.0	1781.0	7558.0	2879.0	11774.0	8144.0	1339.0	12399.0	20087.0	9455.0	9480.0	7123.0	1243.0	1933.0	898.0	5801.0	971395.0	962037.916402
sub-0020	2117.0	1994.0	6287.0	3018.0	2611.0	9309.0	10985.0	9450.0	2374.0	10396.0	8330.0	6473.0	6415.0	10870.0	2320.0	5338.0	3526.0	2739.0	4078.0	1848.0	9417.0	3729.0	14146.0	12621.0	1775.0	15099.0	23740.0	13921.0	13217.0	11419.0	1099.0	2115.0	1125.0	7256.0	1141418.0	1241908.211028
sub-0021	2187.0	2095.0	5409.0	3588.0	2844.0	9801.0	16323.0	9700.0	2933.0	13663.0	8414.0	7342.0	7088.0	13288.0	1608.0	4532.0	4105.0	3075.0	3912.0	1953.0	9634.0	3733.0	13431.0	11476.0	2451.0	17686.0	24396.0	14209.0	12414.0	11409.0	1449.0	3325.0	1047.0	9844.0	1211298.0	1268981.067234
sub-0022	1641.0	1515.0	5545.0	3610.0	2911.0	9138.0	12030.0	9023.0	2372.0	12914.0	7365.0	7497.0	5963.0	10162.0	2027.0	3974.0	3286.0	2742.0	4746.0	2551.0	7409.0	2994.0	12817.0	9669.0	1285.0	13320.0	23938.0	14135.0	11412.0	8279.0	1121.0	2759.0	944.0	7289.0	1116051.0	1189521.862383
sub-0023	3315.0	2645.0	7830.0	4242.0	3005.0	9320.0	19646.0	10977.0	2997.0	14299.0	9069.0	8360.0	6830.0	13364.0	2409.0	4105.0	4454.0	3178.0	5446.0	2453.0	9731.0	4374.0	16656.0	12193.0	2989.0	17992.0	29455.0	16357.0	13888.0	12476.0	1014.0	2273.0	958.0	9625.0	1424017.0	1678356.032306
sub-0024	2182.0	3084.0	5822.0	4178.0	1848.0	9629.0	13752.0	11218.0	3040.0	14128.0	7884.0	7288.0	6326.0	12331.0	1734.0	3697.0	4816.0	3712.0	4661.0	2696.0	8598.0	3437.0	12696.0	10389.0	2948.0	17127.0	23159.0	12935.0	12839.0	10852.0	1377.0	2547.0	899.0	8370.0	1166575.0	1298269.115385
sub-0025	2787.0	2488.0	7389.0	3750.0	1975.0	9907.0	16743.0	8882.0	2462.0	13559.0	8448.0	7776.0	6724.0	13996.0	2211.0	4049.0	4489.0	3024.0	3790.0	2064.0	10716.0	3731.0	15165.0	9937.0	2235.0	15897.0	23888.0	12476.0	12883.0	10142.0	1204.0	2554.0	950.0	8092.0	1210527.0	1394087.467248
sub-0026	1828.0	1672.0	5396.0	3035.0	3349.0	7721.0	11304.0	8871.0	2335.0	11978.0	7186.0	6268.0	5673.0	8845.0	2183.0	3272.0	3517.0	2549.0	4406.0	2484.0	8053.0	2502.0	11627.0	8055.0	1572.0	14263.0	18967.0	9968.0	9692.0	8455.0	1112.0	2080.0	886.0	6654.0	967664.0	1027587.946123
sub-0027	1822.0	2288.0	6337.0	3186.0	1962.0	9191.0	15026.0	8940.0	2395.0	11906.0	8672.0	6483.0	6027.0	10069.0	1906.0	3994.0	4251.0	3273.0	4413.0	1888.0	7327.0	3143.0	12475.0	9836.0	2124.0	15127.0	21261.0	12593.0	12723.0	9866.0	1355.0	2487.0	1086.0	7236.0	1108001.0	1476204.172769
sub-0028	2434.0	2745.0	7256.0	2812.0	2400.0	10299.0	15430.0	9653.0	2387.0	11167.0	8648.0	5187.0	6492.0	11421.0	2379.0	3849.0	3706.0	3126.0	4422.0	1831.0	8229.0	3277.0	13394.0	10665.0	2252.0	14459.0	23591.0	13450.0	14126.0	12216.0	1188.0	3134.0	1022.0	7950.0	1186626.0	1366729.649065
sub-0029	2611.0	2542.0	7083.0	3935.0	1924.0	9911.0	18015.0	10265.0	2510.0	11945.0	8881.0	7584.0	7760.0	12760.0	2085.0	4735.0	5101.0	2700.0	5731.0	2276.0	9931.0	4308.0	15413.0	12369.0	2236.0	19959.0	25185.0	15623.0	13609.0	12067.0	1230.0	2373.0	1090.0	7439.0	1300269.0	1581114.586967
sub-0030	2353.0	2832.0	5803.0	5032.0	2579.0	10080.0	14117.0	10513.0	3297.0	13601.0	9155.0	7880.0	6676.0	12707.0	1929.0	4064.0	4883.0	3274.0	4829.0	3304.0	9223.0	4033.0	14490.0	11538.0	2600.0	15086.0	24690.0	14197.0	12837.0	12393.0	1262.0	2737.0	1293.0	9413.0	1236943.0	1492150.190437
sub-0031	2848.0	3043.0	7351.0	4388.0	2222.0	10536.0	19093.0	13375.0	3086.0	16121.0	9539.0	8757.0	7016.0	16072.0	2477.0	4544.0	4830.0	4202.0	5392.0	3251.0	9597.0	3881.0	16277.0	12777.0	3165.0	21439.0	28142.0	14368.0	13796.0	11857.0	1433.0	3712.0	1086.0	9355.0	1306451.0	1450269.997242
sub-0032	1752.0	2527.0	6383.0	4235.0	1796.0	8851.0	13476.0	10607.0	4376.0	11179.0	7950.0	8936.0	6024.0	9653.0	1845.0	4186.0	3133.0	2649.0	3623.0	3182.0	8713.0	3598.0	13793.0	12297.0	2005.0	14704.0	21337.0	13093.0	10790.0	10807.0	1128.0	3033.0	942.0	7243.0	1096925.0	1246161.583717
sub-0033	2603.0	2841.0	6894.0	3429.0	1528.0	9235.0	16291.0	9486.0	2727.0	12202.0	7060.0	7273.0	6351.0	12748.0	1933.0	4642.0	4290.0	3264.0	5632.0	2221.0	9340.0	3858.0	11934.0	10402.0	1947.0	16712.0	22746.0	12879.0	11690.0	10657.0	1787.0	2103.0	973.0	8277.0	1114250.0	1282027.556818
sub-0034	2269.0	1730.0	6998.0	3885.0	2328.0	8553.0	14734.0	9460.0	2954.0	13279.0	8080.0	8539.0	5422.0	11075.0	2456.0	4459.0	4097.0	2875.0	4647.0	1901.0	8552.0	3154.0	13701.0	10323.0	2215.0	16619.0	24149.0	12230.0	11454.0	8159.0	1171.0	2802.0	1058.0	7890.0	1190883.0	1281517.339249
sub-0035	2482.0	2647.0	5737.0	2665.0	2274.0	9012.0	15863.0	9287.0	2128.0	9650.0	7937.0	4474.0	5831.0	11173.0	1397.0	4175.0	3888.0	2907.0	3927.0	1991.0	7942.0	3509.0	13142.0	9635.0	2664.0	16762.0	22326.0	11562.0	10803.0	8483.0	1065.0	2602.0	989.0	6961.0	1093359.0	1487893.384555
sub-0036	2260.0	1660.0	5337.0	2923.0	2056.0	9848.0	13671.0	8837.0	2143.0	11806.0	6696.0	6758.0	7089.0	10373.0	1953.0	4141.0	3588.0	2887.0	3447.0	1995.0	7605.0	2894.0	11601.0	10351.0	1469.0	16690.0	20694.0	12138.0	10821.0	9604.0	1291.0	1894.0	1120.0	7184.0	1042832.0	1170094.984101
sub-0037	2236.0	1944.0	7379.0	2840.0	2078.0	8929.0	16841.0	11024.0	2814.0	9896.0	7716.0	5830.0	6028.0	12485.0	1642.0	4163.0	3745.0	2451.0	4360.0	2114.0	9608.0	3391.0	13247.0	10633.0	2298.0	15512.0	25123.0	10823.0	10811.0	9281.0	1437.0	2045.0	802.0	6805.0	1077984.0	1313579.750429
sub-0038	1702.0	2672.0	6068.0	2563.0	2747.0	8869.0	13318.0	10139.0	2432.0	10199.0	7583.0	5940.0	6027.0	9772.0	1988.0	3948.0	3747.0	2539.0	4222.0	1607.0	9031.0	3354.0	12522.0	10434.0	2363.0	14815.0	22726.0	11094.0	10664.0	9467.0	1260.0	2342.0	1076.0	6872.0	1065041.0	1155574.165384
sub-0039	2229.0	1379.0	4869.0	3090.0	2051.0	8771.0	16658.0	9034.0	2647.0	12077.0	5964.0	7823.0	5842.0	10121.0	2121.0	3292.0	3207.0	2640.0	3438.0	2420.0	6550.0	2510.0	11398.0	9726.0	1750.0	14463.0	18874.0	12499.0	9889.0	8508.0	1317.0	2254.0	925.0	6743.0	1042272.0	1216281.240076
sub-0040	2222.0	2483.0	6763.0	3644.0	1988.0	8928.0	13243.0	9142.0	2720.0	12328.0	8182.0	8550.0	7132.0	11345.0	1703.0	4301.0	4115.0	2767.0	3519.0	3283.0	8976.0	3574.0	14310.0	10531.0	2073.0	16727.0	23346.0	12733.0	13280.0	10619.0	1366.0	2205.0	1011.0	6713.0	1159406.0	1299590.7541
sub-0041	2603.0	2963.0	9707.0	3478.0	3934.0	10451.0	18323.0	12704.0	3763.0	14668.0	9574.0	7817.0	7990.0	12984.0	3914.0	4165.0	4598.0	3366.0	5438.0	2080.0	12724.0	4333.0	16542.0	13213.0	2270.0	21210.0	30007.0	15872.0	14857.0	13796.0	1541.0	2715.0	1180.0	9914.0	1403826.0	1809842.58152
sub-0042	2314.0	2544.0	7014.0	3319.0	1794.0	7927.0	13031.0	9032.0	2785.0	11820.0	8359.0	7386.0	7044.0	12089.0	1803.0	3830.0	4695.0	3372.0	4916.0	2280.0	8772.0	4016.0	12982.0	10345.0	2081.0	15829.0	23445.0	14367.0	12517.0	11575.0	1161.0	2518.0	948.0	9183.0	1153841.0	1233708.303119
sub-0043	2035.0	2451.0	6719.0	3750.0	2028.0	8011.0	12990.0	9452.0	2552.0	13415.0	8051.0	7597.0	6116.0	11338.0	2115.0	3824.0	5789.0	2661.0	6217.0	3505.0	8557.0	3883.0	14101.0	9479.0	1918.0	15707.0	24499.0	12263.0	11966.0	10160.0	963.0	2243.0	983.0	7578.0	1148252.0	1488278.352641
sub-0044	2523.0	2051.0	5720.0	3302.0	2079.0	9435.0	15279.0	12922.0	2335.0	11539.0	6194.0	8314.0	5643.0	13013.0	2202.0	3996.0	3719.0	3052.0	3891.0	2302.0	8103.0	3213.0	15014.0	8771.0	2233.0	15200.0	26382.0	11094.0	12880.0	10435.0	1204.0	2673.0	1022.0	7218.0	1098496.0	1358076.168294
sub-0045	1978.0	1757.0	5165.0	3615.0	1873.0	6633.0	12680.0	9290.0	3222.0	11781.0	6900.0	8314.0	4777.0	10758.0	1630.0	3130.0	3619.0	2688.0	3391.0	2319.0	8953.0	2883.0	12389.0	10293.0	2547.0	17045.0	19433.0	11762.0	10241.0	9373.0	965.0	2177.0	785.0	6602.0	1117416.0	1210231.412956
sub-0046	2928.0	1864.0	5796.0	3139.0	3398.0	9158.0	15506.0	10796.0	2506.0	12526.0	8005.0	7294.0	7775.0	12771.0	2889.0	4403.0	4742.0	3404.0	5221.0	2299.0	10331.0	3798.0	14261.0	10346.0	1859.0	17032.0	24294.0	12564.0	10696.0	11247.0	1633.0	2587.0	784.0	7929.0	1305197.0	1606098.295409
sub-0047	2747.0	2034.0	8525.0	3804.0	2364.0	9861.0	15865.0	12912.0	3649.0	13854.0	8384.0	8679.0	6634.0	15094.0	2228.0	4695.0	5260.0	3276.0	5749.0	2735.0	12030.0	3349.0	13445.0	13172.0	2776.0	18064.0	30246.0	15342.0	15341.0	14018.0	1473.0	3225.0	1292.0	11285.0	1315037.0	1620396.617557
sub-0048	1984.0	1900.0	6277.0	3467.0	2266.0	8888.0	15276.0	9993.0	2053.0	12571.0	8038.0	6752.0	6140.0	11873.0	2139.0	4294.0	5220.0	3821.0	5472.0	2406.0	9755.0	3565.0	13440.0	10477.0	2372.0	17165.0	23892.0	14157.0	13452.0	9798.0	1252.0	2439.0	1210.0	8291.0	1136284.0	1301696.092796
sub-0049	1999.0	1901.0	5900.0	3403.0	1846.0	7671.0	12186.0	9092.0	2287.0	11239.0	6980.0	7137.0	5792.0	8909.0	1706.0	3206.0	3511.0	2023.0	3893.0	3539.0	8070.0	2925.0	13188.0	8061.0	1480.0	15012.0	23606.0	10415.0	10736.0	7535.0	1026.0	2647.0	1053.0	6220.0	1070706.0	1184629.23971
sub-0050	2880.0	1664.0	9497.0	3989.0	2457.0	8719.0	17943.0	11317.0	2994.0	12866.0	9784.0	9031.0	7512.0	15212.0	2166.0	4245.0	4987.0	3426.0	4593.0	2470.0	9730.0	4120.0	16570.0	13574.0	2269.0	19978.0	32886.0	16021.0	12645.0	11886.0	1287.0	2546.0	1012.0	8558.0	1341559.0	1621316.504598
sub-0051	2628.0	1440.0	6880.0	3834.0	2093.0	10597.0	15722.0	10328.0	3274.0	16204.0	9216.0	9002.0	6778.0	13083.0	2088.0	3834.0	5522.0	3658.0	6014.0	3200.0	10570.0	3599.0	14026.0	11682.0	2354.0	19132.0	25274.0	14003.0	12999.0	12570.0	1072.0	3058.0	1105.0	8490.0	1295666.0	1498996.190611
sub-0052	2234.0	2792.0	7567.0	3523.0	2629.0	10228.0	14094.0	9232.0	2669.0	12133.0	8711.0	7820.0	7150.0	11286.0	2275.0	5556.0	5168.0	2583.0	4634.0	2532.0	8793.0	4464.0	14428.0	10093.0	2455.0	16901.0	25051.0	12104.0	11382.0	12217.0	1496.0	2639.0	1137.0	7291.0	1168873.0	1372640.288417
sub-0053	2028.0	1410.0	5774.0	3203.0	2088.0	7588.0	13553.0	8892.0	2334.0	12442.0	9013.0	7105.0	6641.0	11937.0	1834.0	3598.0	4095.0	2837.0	3535.0	2048.0	11206.0	3106.0	12484.0	10602.0	1709.0	16476.0	25929.0	11715.0	10194.0	12101.0	1329.0	2225.0	947.0	6811.0	1164251.0	1262352.865019
sub-0054	2467.0	2815.0	6139.0	3493.0	1906.0	9266.0	15920.0	9725.0	2135.0	10571.0	7262.0	7170.0	5995.0	12941.0	1862.0	4561.0	4153.0	2867.0	3973.0	2450.0	9788.0	3340.0	12863.0	10905.0	2536.0	19503.0	24270.0	14726.0	14177.0	12604.0	1351.0	2188.0	1113.0	7187.0	1220922.0	1354248.342829
sub-0055	2410.0	2061.0	4643.0	3772.0	2396.0	9602.0	12970.0	10488.0	2384.0	11715.0	8274.0	5969.0	6051.0	11216.0	1905.0	4916.0	3428.0	2240.0	4500.0	2022.0	9891.0	3377.0	12059.0	10822.0	1956.0	15588.0	22824.0	14008.0	12694.0	12099.0	1189.0	2106.0	1305.0	7644.0	1102577.0	1220870.241676
sub-0056	2835.0	2085.0	5997.0	2563.0	2109.0	10525.0	17816.0	10765.0	2816.0	12021.0	9202.0	5383.0	6627.0	12992.0	1598.0	3553.0	5054.0	2931.0	5218.0	1593.0	8014.0	2920.0	12420.0	10789.0	2277.0	14111.0	21857.0	11986.0	12369.0	9918.0	917.0	2672.0	1022.0	7772.0	1152178.0	1323288.326223
sub-0057	1925.0	2222.0	6429.0	2720.0	1855.0	8625.0	15118.0	9418.0	2015.0	10043.0	7034.0	6300.0	5839.0	10904.0	1684.0	3379.0	4496.0	2547.0	4532.0	2087.0	7843.0	3084.0	11698.0	9975.0	1840.0	14945.0	17162.0	11192.0	10538.0	8114.0	1212.0	2261.0	851.0	7598.0	1065511.0	1471361.003633
sub-0058	2214.0	1837.0	4480.0	3545.0	2129.0	8494.0	15657.0	9670.0	2748.0	12448.0	7715.0	7990.0	5152.0	11179.0	2199.0	4557.0	3628.0	2623.0	3803.0	2623.0	8819.0	3763.0	13311.0	9866.0	1803.0	14025.0	21074.0	13285.0	10850.0	10387.0	941.0	1660.0	1012.0	7136.0	1146292.0	1272362.251359
sub-0059	2241.0	1761.0	6632.0	3870.0	2534.0	10265.0	16089.0	9860.0	2797.0	13480.0	8034.0	8221.0	6128.0	12419.0	2720.0	3693.0	4015.0	2747.0	4496.0	2597.0	8778.0	3452.0	14166.0	11497.0	2816.0	16472.0	22357.0	14477.0	12649.0	11113.0	1060.0	2304.0	1087.0	7882.0	1207003.0	1637677.191224
sub-0060	1877.0	2415.0	4941.0	4052.0	2206.0	7778.0	12848.0	7968.0	2565.0	10256.0	6920.0	7656.0	4709.0	9076.0	1864.0	3124.0	3097.0	2362.0	3479.0	3286.0	6595.0	2770.0	11635.0	8754.0	1634.0	14017.0	19757.0	10634.0	8447.0	6751.0	1030.0	1498.0	717.0	5605.0	1059213.0	1152295.99882
sub-0061	1527.0	2640.0	5677.0	2402.0	1349.0	8074.0	10431.0	7228.0	1893.0	9380.0	6876.0	6504.0	5660.0	9249.0	1570.0	3191.0	3200.0	2542.0	3332.0	1737.0	7614.0	3231.0	10654.0	9059.0	2020.0	14273.0	20230.0	10588.0	8429.0	10347.0	1418.0	2835.0	922.0	6694.0	959967.0	1029870.371546
sub-0062	1616.0	1833.0	6808.0	3891.0	2790.0	7933.0	13846.0	9221.0	2860.0	12443.0	7879.0	9116.0	5739.0	11265.0	2425.0	3409.0	3749.0	2491.0	3684.0	3110.0	8465.0	3440.0	13553.0	9607.0	1434.0	16137.0	21352.0	12527.0	10094.0	8122.0	985.0	2458.0	959.0	6241.0	1139987.0	1505539.037986
sub-0063	1915.0	1968.0	6264.0	3005.0	2522.0	9013.0	15407.0	9611.0	2958.0	13626.0	9047.0	7806.0	5819.0	12274.0	2187.0	4349.0	3141.0	2989.0	3284.0	2787.0	9284.0	3406.0	15271.0	9637.0	2021.0	15279.0	22330.0	12237.0	12263.0	8587.0	1107.0	2669.0	882.0	6835.0	1288682.0	1778611.402802
sub-0064	1961.0	2611.0	5991.0	2996.0	2179.0	8162.0	14581.0	8233.0	2844.0	9730.0	7211.0	7179.0	6237.0	11559.0	1810.0	3703.0	3488.0	2879.0	3661.0	2414.0	8562.0	4014.0	12879.0	10102.0	2470.0	15930.0	20150.0	13219.0	11266.0	10695.0	1418.0	2593.0	963.0	7370.0	1130362.0	1288546.246772
sub-0065	2492.0	2173.0	5659.0	3745.0	1694.0	10137.0	13531.0	11043.0	3326.0	11205.0	7815.0	9277.0	5691.0	11695.0	2259.0	3527.0	3584.0	3024.0	4707.0	2387.0	9203.0	4074.0	12440.0	11487.0	2160.0	14983.0	22463.0	12968.0	11273.0	11003.0	905.0	2070.0	826.0	7369.0	1171889.0	1323655.107233
sub-0066	2220.0	2018.0	8739.0	4395.0	2727.0	14110.0	14204.0	12870.0	2585.0	17750.0	8954.0	6723.0	7396.0	13115.0	2701.0	5106.0	5565.0	3733.0	5343.0	3105.0	10235.0	4238.0	14844.0	11862.0	2776.0	20110.0	30417.0	14770.0	14847.0	12585.0	1412.0	2533.0	1281.0	8243.0	1290488.0	1727795.132291
sub-0067	2384.0	2872.0	7442.0	4260.0	1964.0	9534.0	16525.0	9609.0	2672.0	12173.0	7834.0	7720.0	6595.0	12625.0	2253.0	3721.0	3621.0	3172.0	4142.0	2629.0	8740.0	3713.0	12843.0	10467.0	3177.0	17112.0	21850.0	12700.0	11698.0	10587.0	1175.0	2059.0	830.0	6334.0	1162188.0	1386454.233187
sub-0068	2086.0	3083.0	5137.0	3338.0	1568.0	8165.0	14239.0	8930.0	2834.0	12414.0	8690.0	6481.0	5581.0	13453.0	1622.0	4045.0	2832.0	3228.0	3244.0	2037.0	8746.0	4045.0	12034.0	10593.0	2428.0	17095.0	21496.0	13094.0	11902.0	10436.0	1448.0	2259.0	846.0	7744.0	1139525.0	1199092.022668
sub-0069	2518.0	3346.0	6583.0	3431.0	2072.0	8196.0	16960.0	9363.0	3323.0	12465.0	8495.0	5957.0	7415.0	12091.0	1819.0	4340.0	4378.0	2879.0	4083.0	2201.0	11459.0	3936.0	12952.0	12962.0	2625.0	17198.0	24307.0	13206.0	13090.0	11651.0	1162.0	2814.0	1008.0	7850.0	1245457.0	1367929.754538
