lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0011	604.0	888.0	968.0	862.0	344.0	1056.0	650.0	742.0	349.0	189.0	1239.0	937.0	237.0	739.0	2425.0	4068.0	331.0	391.0	1345.0	824.0	1032.0	1466.0	678.0	1271.0	1320.0	2026.0	1639.0	1199.0	1425.0	1650.0	513.0	175.0	289.0	1220.0	333.0	607.0	1295.0	1366.0	169.0	281.0	750.0	1186.0	879.0	1095.0	1652.0	666.0	264.0	798.0	915.0	430.0	333.0	1528.0	592.0	1362.0	291.0	2347.0	712.0	757.0	343.0	449.0	1297.0	169.0	354.0	693.0	1191.0	656.0	1867.0	1126.0	862.0	381.0	563.0	729.0	3179.0	336.0	69894.5	916414.0	1050308.739903
sub-0012	830.0	1107.0	1081.0	1077.0	447.0	1274.0	795.0	786.0	353.0	179.0	1673.0	1024.0	207.0	503.0	2686.0	4859.0	430.0	365.0	1572.0	1090.0	1076.0	2075.0	1010.0	1448.0	1851.0	1816.0	2037.0	1563.0	1580.0	1960.0	596.0	428.0	253.0	1212.0	398.0	455.0	1898.0	1512.0	177.0	150.0	643.0	1648.0	1128.0	1589.0	2119.0	802.0	349.0	855.0	979.0	837.0	296.0	1354.0	785.0	1958.0	250.0	1970.0	977.0	982.0	572.0	376.0	1231.0	205.0	444.0	919.0	1575.0	611.0	2066.0	1109.0	863.0	469.0	711.0	1079.0	3597.0	195.0	81377.2	1093680.0	1174483.265912
sub-0013	947.0	1038.0	1040.0	1267.0	590.0	1879.0	894.0	958.0	535.0	227.0	1394.0	1126.0	337.0	1005.0	3363.0	5207.0	467.0	465.0	1549.0	952.0	1440.0	1773.0	991.0	1731.0	1877.0	2752.0	2462.0	1605.0	1479.0	2064.0	653.0	342.0	413.0	1437.0	465.0	977.0	1696.0	1840.0	227.0	239.0	887.0	1294.0	975.0	1938.0	1934.0	827.0	397.0	922.0	1356.0	771.0	329.0	1680.0	1192.0	2177.0	303.0	2404.0	861.0	801.0	650.0	686.0	1251.0	346.0	477.0	1075.0	1548.0	1024.0	2468.0	1211.0	801.0	552.0	885.0	843.0	4314.0	327.0	91203.4	1245924.0	1575330.67754
sub-0014	861.0	1118.0	989.0	971.0	379.0	1289.0	717.0	873.0	391.0	237.0	1323.0	756.0	307.0	717.0	2939.0	4502.0	350.0	357.0	1467.0	905.0	1146.0	2135.0	1170.0	1532.0	1542.0	2065.0	1620.0	1463.0	1554.0	1760.0	611.0	596.0	237.0	1226.0	429.0	605.0	1434.0	1697.0	233.0	180.0	694.0	1200.0	1105.0	1983.0	1993.0	650.0	349.0	822.0	996.0	674.0	335.0	1510.0	806.0	1801.0	141.0	1913.0	836.0	840.0	482.0	585.0	1393.0	328.0	458.0	932.0	1204.0	631.0	1705.0	1030.0	919.0	489.0	583.0	860.0	3613.0	314.0	78854.8	1087763.0	1206059.232953
sub-0015	775.0	1252.0	966.0	976.0	487.0	2294.0	1126.0	1062.0	437.0	194.0	1437.0	1167.0	295.0	961.0	3340.0	5062.0	417.0	439.0	1761.0	1234.0	1278.0	2191.0	915.0	1516.0	1761.0	1767.0	2342.0	1457.0	1548.0	1843.0	627.0	342.0	337.0	1358.0	475.0	635.0	1522.0	1505.0	199.0	154.0	672.0	1524.0	1194.0	1807.0	2177.0	758.0	348.0	865.0	1255.0	774.0	312.0	1731.0	991.0	2095.0	194.0	2536.0	780.0	976.0	463.0	685.0	1252.0	262.0	415.0	938.0	1530.0	741.0	2279.0	1122.0	944.0	410.0	723.0	1064.0	4003.0	274.0	87545.3	1157625.0	1400508.836146
sub-0016	889.0	1080.0	973.0	862.0	471.0	1481.0	902.0	819.0	334.0	180.0	1288.0	890.0	250.0	895.0	3036.0	3988.0	400.0	370.0	1119.0	986.0	1260.0	2262.0	744.0	1467.0	1639.0	2021.0	1755.0	1347.0	1281.0	1724.0	566.0	117.0	278.0	1142.0	424.0	681.0	1573.0	1509.0	239.0	259.0	692.0	1100.0	999.0	1822.0	1777.0	717.0	299.0	835.0	1114.0	497.0	445.0	1555.0	1018.0	1748.0	150.0	1941.0	509.0	810.0	483.0	624.0	1370.0	216.0	348.0	911.0	1392.0	753.0	1934.0	969.0	752.0	366.0	566.0	1185.0	3418.0	210.0	77027.0	1078694.0	1226969.408346
sub-0017	608.0	922.0	887.0	727.0	457.0	1297.0	645.0	710.0	253.0	172.0	1508.0	816.0	327.0	858.0	2037.0	4828.0	331.0	401.0	1251.0	926.0	1245.0	2084.0	693.0	1526.0	1384.0	1316.0	1646.0	1724.0	1544.0	1439.0	583.0	277.0	241.0	1076.0	454.0	523.0	1378.0	1504.0	255.0	203.0	597.0	1181.0	956.0	1999.0	2083.0	588.0	353.0	788.0	1085.0	435.0	216.0	1249.0	621.0	1688.0	52.0	1893.0	522.0	807.0	485.0	503.0	1278.0	222.0	371.0	760.0	1193.0	780.0	1569.0	789.0	1246.0	422.0	525.0	662.0	3346.0	288.0	72609.7	975124.0	1223580.126877
sub-0018	933.0	1081.0	1143.0	1289.0	435.0	1487.0	867.0	847.0	365.0	163.0	1399.0	859.0	365.0	741.0	3383.0	4954.0	516.0	535.0	1585.0	1049.0	1467.0	1797.0	1162.0	1887.0	2169.0	2221.0	2125.0	1619.0	1822.0	2534.0	699.0	431.0	449.0	1779.0	477.0	902.0	1863.0	2065.0	177.0	213.0	865.0	1436.0	1077.0	1397.0	2213.0	824.0	436.0	1106.0	1183.0	852.0	367.0	1261.0	1158.0	2024.0	377.0	2208.0	760.0	1001.0	647.0	644.0	1743.0	235.0	413.0	890.0	1765.0	609.0	2531.0	1277.0	1089.0	456.0	1010.0	1139.0	5117.0	372.0	92341.8	1205241.0	1420234.794428
sub-0019	704.0	905.0	944.0	945.0	425.0	1490.0	716.0	763.0	326.0	151.0	1138.0	921.0	303.0	810.0	2727.0	4158.0	368.0	337.0	1264.0	813.0	999.0	1937.0	885.0	1365.0	1428.0	1443.0	2010.0	1315.0	1272.0	1596.0	609.0	285.0	345.0	1214.0	362.0	491.0	1403.0	1436.0	245.0	235.0	624.0	1089.0	934.0	1518.0	1960.0	604.0	267.0	868.0	1068.0	616.0	331.0	1336.0	686.0	1828.0	100.0	1829.0	680.0	843.0	495.0	461.0	1282.0	238.0	375.0	813.0	1158.0	555.0	1630.0	1270.0	678.0	432.0	627.0	789.0	3500.0	277.0	72845.6	971395.0	962037.916402
sub-0020	890.0	1104.0	1043.0	1004.0	432.0	1687.0	928.0	1017.0	484.0	187.0	1229.0	1072.0	377.0	830.0	3191.0	5510.0	516.0	444.0	1243.0	1228.0	1185.0	2069.0	896.0	1826.0	1650.0	1969.0	2943.0	1583.0	1655.0	2491.0	691.0	246.0	307.0	1580.0	475.0	1102.0	1646.0	1724.0	207.0	269.0	831.0	1410.0	1006.0	1308.0	2262.0	850.0	333.0	1126.0	1173.0	600.0	468.0	1644.0	880.0	2125.0	131.0	2851.0	564.0	925.0	425.0	608.0	1519.0	228.0	467.0	1074.0	1289.0	935.0	2054.0	1226.0	891.0	521.0	965.0	877.0	4109.0	296.0	88904.0	1141418.0	1241908.211028
sub-0021	1032.0	1337.0	1218.0	987.0	519.0	1670.0	874.0	886.0	513.0	168.0	1406.0	945.0	286.0	532.0	3106.0	5600.0	489.0	496.0	1769.0	1096.0	1200.0	1680.0	985.0	1842.0	2326.0	1742.0	1904.0	1558.0	1613.0	2037.0	757.0	256.0	350.0	1513.0	639.0	763.0	1995.0	1945.0	134.0	175.0	821.0	1476.0	1352.0	1322.0	2122.0	861.0	325.0	964.0	1213.0	784.0	383.0	1474.0	1148.0	2417.0	387.0	1766.0	708.0	1162.0	433.0	817.0	1623.0	316.0	538.0	1147.0	1770.0	756.0	2128.0	982.0	857.0	632.0	938.0	1128.0	5891.0	271.0	91259.7	1211298.0	1268981.067234
sub-0022	710.0	1015.0	1000.0	863.0	515.0	1421.0	1014.0	906.0	380.0	183.0	1448.0	905.0	279.0	800.0	2515.0	4739.0	406.0	422.0	1527.0	1142.0	1298.0	1926.0	995.0	1519.0	1406.0	1410.0	2249.0	1270.0	1680.0	1634.0	541.0	103.0	312.0	1302.0	432.0	602.0	1371.0	1386.0	198.0	243.0	618.0	1433.0	1030.0	1750.0	1866.0	618.0	336.0	958.0	972.0	772.0	443.0	1499.0	893.0	1862.0	117.0	2053.0	594.0	805.0	513.0	603.0	1178.0	285.0	315.0	952.0	1445.0	758.0	1731.0	1092.0	900.0	526.0	734.0	1152.0	3391.0	251.0	78510.8	1116051.0	1189521.862383
sub-0023	1018.0	1238.0	1020.0	1117.0	660.0	1689.0	924.0	1076.0	662.0	224.0	1595.0	1024.0	318.0	759.0	3003.0	5821.0	541.0	489.0	1535.0	1044.0	1342.0	1998.0	1069.0	1618.0	2192.0	2328.0	2926.0	1731.0	1698.0	2370.0	772.0	551.0	341.0	1566.0	486.0	887.0	1828.0	1969.0	165.0	255.0	818.0	1456.0	1196.0	1437.0	2346.0	845.0	391.0	957.0	1175.0	600.0	415.0	1449.0	1156.0	3011.0	649.0	2280.0	985.0	792.0	445.0	689.0	1635.0	241.0	519.0	1000.0	1605.0	889.0	2523.0	1156.0	1223.0	510.0	1058.0	1398.0	4425.0	329.0	95454.3	1424017.0	1678356.032306
sub-0024	952.0	1424.0	1070.0	1139.0	537.0	1521.0	795.0	899.0	373.0	179.0	1646.0	810.0	273.0	628.0	3459.0	5007.0	413.0	503.0	1891.0	1079.0	1585.0	2135.0	794.0	1662.0	1641.0	1677.0	2356.0	1655.0	1627.0	1773.0	618.0	542.0	230.0	1227.0	559.0	652.0	1740.0	1675.0	176.0	270.0	736.0	1393.0	1319.0	1820.0	2035.0	684.0	310.0	869.0	1159.0	718.0	349.0	1584.0	1105.0	2010.0	206.0	2291.0	921.0	864.0	505.0	878.0	1396.0	269.0	411.0	1022.0	1312.0	598.0	1986.0	958.0	1065.0	606.0	684.0	884.0	4210.0	268.0	86613.5	1166575.0	1298269.115385
sub-0025	887.0	996.0	911.0	1036.0	456.0	1499.0	757.0	996.0	400.0	166.0	1353.0	995.0	336.0	810.0	3053.0	5107.0	435.0	477.0	1612.0	982.0	1315.0	2122.0	958.0	1740.0	1772.0	1866.0	2025.0	1595.0	1485.0	1779.0	716.0	647.0	451.0	1276.0	624.0	585.0	1913.0	2002.0	217.0	205.0	831.0	1509.0	1295.0	1367.0	2074.0	742.0	358.0	858.0	1063.0	696.0	390.0	1536.0	777.0	2058.0	130.0	2155.0	664.0	1010.0	516.0	769.0	1548.0	201.0	426.0	1107.0	1407.0	797.0	2297.0	1021.0	876.0	504.0	606.0	1279.0	3712.0	283.0	85417.8	1210527.0	1394087.467248
sub-0026	880.0	1265.0	934.0	946.0	433.0	1419.0	923.0	980.0	285.0	188.0	1224.0	823.0	243.0	484.0	2674.0	4622.0	440.0	398.0	1552.0	869.0	1342.0	1884.0	1124.0	1650.0	1476.0	1799.0	1820.0	1428.0	1401.0	1844.0	642.0	218.0	332.0	1213.0	487.0	610.0	1307.0	1431.0	174.0	222.0	685.0	1595.0	1160.0	1837.0	1805.0	676.0	325.0	815.0	1044.0	820.0	332.0	1103.0	796.0	1791.0	100.0	1668.0	721.0	642.0	412.0	662.0	1427.0	232.0	401.0	1015.0	1162.0	531.0	1465.0	1247.0	658.0	463.0	567.0	821.0	3479.0	278.0	76719.8	967664.0	1027587.946123
sub-0027	841.0	974.0	991.0	947.0	466.0	1478.0	692.0	951.0	361.0	210.0	1174.0	933.0	277.0	718.0	2618.0	3820.0	447.0	442.0	1541.0	908.0	1159.0	1882.0	701.0	1661.0	1667.0	1922.0	1922.0	1289.0	1449.0	2158.0	593.0	439.0	319.0	1334.0	422.0	714.0	1612.0	2026.0	164.0	370.0	805.0	1310.0	959.0	1427.0	1964.0	712.0	400.0	900.0	1199.0	455.0	323.0	1614.0	1144.0	2175.0	308.0	2360.0	609.0	900.0	537.0	704.0	1495.0	224.0	446.0	838.0	1158.0	774.0	1818.0	1060.0	1005.0	580.0	747.0	1030.0	4161.0	320.0	81047.9	1108001.0	1476204.172769
sub-0028	807.0	889.0	936.0	1047.0	584.0	1906.0	960.0	1105.0	382.0	191.0	1388.0	841.0	233.0	718.0	3184.0	4914.0	421.0	482.0	1499.0	922.0	1168.0	1398.0	982.0	1629.0	2251.0	2108.0	1746.0	1416.0	1431.0	1637.0	640.0	324.0	284.0	1463.0	613.0	761.0	1905.0	2036.0	266.0	223.0	763.0	1568.0	1233.0	1419.0	1991.0	800.0	311.0	1029.0	1269.0	691.0	461.0	1330.0	1038.0	2616.0	134.0	1906.0	618.0	718.0	423.0	627.0	1691.0	224.0	471.0	1084.0	1765.0	903.0	2003.0	1104.0	904.0	492.0	651.0	1515.0	4627.0	327.0	86397.0	1186626.0	1366729.649065
sub-0029	952.0	1342.0	955.0	1298.0	746.0	1957.0	859.0	1018.0	444.0	183.0	1575.0	956.0	318.0	1106.0	3858.0	5582.0	520.0	566.0	1448.0	1117.0	1565.0	2221.0	871.0	1970.0	1787.0	2671.0	2538.0	2094.0	2069.0	2231.0	718.0	343.0	398.0	1754.0	644.0	967.0	1866.0	2207.0	225.0	249.0	953.0	1388.0	1375.0	1696.0	2509.0	838.0	409.0	1015.0	1283.0	747.0	467.0	1791.0	1435.0	2505.0	182.0	2393.0	569.0	863.0	486.0	651.0	1784.0	315.0	528.0	1065.0	2453.0	877.0	2629.0	1270.0	1269.0	554.0	977.0	1370.0	4996.0	508.0	100338.0	1300269.0	1581114.586967
sub-0030	888.0	1091.0	1195.0	1126.0	512.0	1830.0	1077.0	1015.0	459.0	223.0	1616.0	980.0	300.0	796.0	3148.0	4867.0	461.0	487.0	1961.0	1187.0	1301.0	2085.0	961.0	2025.0	1596.0	2547.0	1939.0	1919.0	1600.0	1809.0	658.0	167.0	421.0	1332.0	587.0	881.0	1931.0	1673.0	279.0	343.0	1035.0	1454.0	1217.0	2148.0	2344.0	834.0	480.0	1063.0	1316.0	888.0	404.0	1383.0	970.0	2127.0	226.0	2060.0	692.0	1006.0	509.0	672.0	1497.0	245.0	548.0	1074.0	1703.0	767.0	2731.0	1242.0	998.0	653.0	800.0	1253.0	3865.0	343.0	91821.3	1236943.0	1492150.190437
sub-0031	970.0	1153.0	1164.0	1193.0	684.0	1732.0	981.0	1093.0	398.0	196.0	1550.0	1169.0	296.0	941.0	3883.0	5774.0	441.0	444.0	1802.0	1074.0	1474.0	2350.0	1044.0	1878.0	2163.0	2278.0	2777.0	1555.0	1729.0	1830.0	704.0	615.0	363.0	1541.0	560.0	764.0	2253.0	1954.0	172.0	220.0	830.0	1398.0	1158.0	2517.0	2202.0	892.0	464.0	951.0	1190.0	853.0	403.0	1720.0	1232.0	2509.0	159.0	2155.0	908.0	1141.0	740.0	765.0	1579.0	327.0	503.0	1000.0	1642.0	1125.0	2151.0	955.0	951.0	572.0	770.0	1236.0	4473.0	403.0	97037.9	1306451.0	1450269.997242
sub-0032	890.0	1113.0	1006.0	1235.0	498.0	1542.0	772.0	981.0	484.0	380.0	1734.0	904.0	352.0	602.0	2719.0	4934.0	423.0	468.0	1576.0	1156.0	1234.0	2327.0	716.0	1808.0	1338.0	2297.0	2326.0	1381.0	1554.0	2013.0	698.0	304.0	476.0	1879.0	499.0	936.0	1477.0	1416.0	148.0	245.0	894.0	1360.0	1111.0	2722.0	1708.0	776.0	474.0	794.0	1128.0	666.0	239.0	1534.0	781.0	2226.0	35.0	2117.0	661.0	707.0	404.0	695.0	1330.0	302.0	378.0	1035.0	1885.0	907.0	2127.0	1183.0	862.0	387.0	689.0	732.0	3220.0	520.0	85433.5	1096925.0	1246161.583717
